onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
68.1679687500	n/a	stimulus	n/a	17451.0000000000	128	1	eeg+txt	MW_question	57.1000	68.1679687500	n/a	n/a	11.067969	stimulus_value_128_is_MW_prompt_in_EEG	1
71.5429687500	n/a	response	n/a	18315.0000000000	2	1	eeg+txt	key_status_1	60.4000	71.4679687500	1	1	11.067969	aligned_by_order	1
75.1679687500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_2	64.1000	75.1679687500	0	2	11.067969	txt_key0_present_in_eeg_rare	1
91.8679687500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	80.8000	91.8679687500	0	3	11.067969	txt_key0_present_in_eeg_rare	1
110.9414062500	n/a	stimulus	n/a	28401.0000000000	128	2	eeg+txt	MW_question	99.8000	110.9414062500	n/a	n/a	11.141406	stimulus_value_128_is_MW_prompt_in_EEG	1
117.8593750000	n/a	response	n/a	30172.0000000000	2	2	eeg+txt	key_status_1	106.7000	117.8414062500	1	1	11.141406	aligned_by_order	1
121.2414062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_2	110.1000	121.2414062500	0	2	11.141406	txt_key0_present_in_eeg_rare	1
123.7414062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	112.6000	123.7414062500	0	3	11.141406	txt_key0_present_in_eeg_rare	1
147.7500000000	n/a	stimulus	n/a	37824.0000000000	128	3	eeg+txt	MW_question	136.6000	147.7500000000	n/a	n/a	11.150000	stimulus_value_128_is_MW_prompt_in_EEG	1
151.0351562500	n/a	response	n/a	38665.0000000000	4	3	eeg+txt	key_status_1	139.9000	151.0500000000	2	1	11.150000	aligned_by_order	1
155.0500000000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	143.9000	155.0500000000	0	2	11.150000	txt_key0_present_in_eeg_rare	1
157.4500000000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	146.3000	157.4500000000	0	3	11.150000	txt_key0_present_in_eeg_rare	1
280.3867187500	n/a	stimulus	n/a	71779.0000000000	128	4	eeg+txt	MW_question	269.3000	280.3867187500	n/a	n/a	11.086719	stimulus_value_128_is_MW_prompt_in_EEG	1
283.6562500000	n/a	response	n/a	72616.0000000000	4	4	eeg+txt	key_status_1	272.5000	283.5867187500	2	1	11.086719	aligned_by_order	1
288.8906250000	n/a	response	n/a	73956.0000000000	2	4	eeg+txt	key_status_2	277.8000	288.8867187500	1	2	11.086719	aligned_by_order	1
291.4867187500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	280.4000	291.4867187500	0	3	11.086719	txt_key0_present_in_eeg_rare	1
393.5742187500	n/a	stimulus	n/a	100755.0000000000	128	5	eeg+txt	MW_question	382.4000	393.5742187500	n/a	n/a	11.174219	stimulus_value_128_is_MW_prompt_in_EEG	1
397.3242187500	n/a	response	n/a	101715.0000000000	4	5	eeg+txt	key_status_1	386.2000	397.3742187500	2	1	11.174219	aligned_by_order	1
399.4609375000	n/a	response	n/a	102262.0000000000	2	5	eeg+txt	key_status_2	388.3000	399.4742187500	1	2	11.174219	aligned_by_order	1
402.3742187500	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	391.2000	402.3742187500	0	3	11.174219	txt_key0_present_in_eeg_rare	1
460.3515625000	n/a	stimulus	n/a	117850.0000000000	128	6	eeg+txt	MW_question	449.2000	460.3515625000	n/a	n/a	11.151563	stimulus_value_128_is_MW_prompt_in_EEG	1
463.4843750000	n/a	response	n/a	118652.0000000000	4	6	eeg+txt	key_status_1	452.3000	463.4515625000	2	1	11.151563	aligned_by_order	1
