onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
171.8398437500	n/a	stimulus	n/a	43991.0000000000	128	1	eeg+txt	MW_question	119.1000	171.8398437500	n/a	n/a	52.739844	stimulus_value_128_is_MW_prompt_in_EEG	1
175.1835937500	n/a	response	n/a	44847.0000000000	4	1	eeg+txt	key_status_1	122.4000	175.1398437500	2	1	52.739844	aligned_by_order	1
177.6015625000	n/a	response	n/a	45466.0000000000	2	1	eeg+txt	key_status_2	124.8000	177.5398437500	1	2	52.739844	aligned_by_order	1
180.3398437500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	127.6000	180.3398437500	0	3	52.739844	txt_key0_present_in_eeg_rare	1
311.3789062500	n/a	stimulus	n/a	79713.0000000000	128	2	eeg+txt	MW_question	258.6000	311.3789062500	n/a	n/a	52.778906	stimulus_value_128_is_MW_prompt_in_EEG	1
314.0625000000	n/a	response	n/a	80400.0000000000	4	2	eeg+txt	key_status_1	261.3000	314.0789062500	2	1	52.778906	aligned_by_order	1
317.2031250000	n/a	response	n/a	81204.0000000000	2	2	eeg+txt	key_status_2	264.4000	317.1789062500	1	2	52.778906	aligned_by_order	1
319.8789062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	267.1000	319.8789062500	0	3	52.778906	txt_key0_present_in_eeg_rare	1
443.8867187500	n/a	stimulus	n/a	113635.0000000000	128	3	eeg+txt	MW_question	391.1000	443.8867187500	n/a	n/a	52.786719	stimulus_value_128_is_MW_prompt_in_EEG	1
447.0703125000	n/a	response	n/a	114450.0000000000	8	3	eeg+txt	key_status_1	394.3000	447.0867187500	3	1	52.786719	aligned_by_order	1
449.7343750000	n/a	response	n/a	115132.0000000000	2	3	eeg+txt	key_status_2	397.0000	449.7867187500	1	2	52.786719	aligned_by_order	1
451.8867187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	399.1000	451.8867187500	0	3	52.786719	txt_key0_present_in_eeg_rare	1
538.9179687500	n/a	stimulus	n/a	137963.0000000000	128	4	eeg+txt	MW_question	486.1000	538.9179687500	n/a	n/a	52.817969	stimulus_value_128_is_MW_prompt_in_EEG	1
542.3593750000	n/a	response	n/a	138844.0000000000	4	4	eeg+txt	key_status_1	489.6000	542.4179687500	2	1	52.817969	aligned_by_order	1
545.9218750000	n/a	response	n/a	139756.0000000000	2	4	eeg+txt	key_status_2	493.1000	545.9179687500	1	2	52.817969	aligned_by_order	1
549.3179687500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	496.5000	549.3179687500	0	3	52.817969	txt_key0_present_in_eeg_rare	1
688.3046875000	n/a	stimulus	n/a	176206.0000000000	128	5	eeg+txt	MW_question	635.5000	688.3046875000	n/a	n/a	52.804688	stimulus_value_128_is_MW_prompt_in_EEG	1
692.5195312500	n/a	response	n/a	177285.0000000000	4	5	eeg+txt	key_status_1	639.7000	692.5046875000	2	1	52.804688	aligned_by_order	1
697.4570312500	n/a	response	n/a	178549.0000000000	2	5	eeg+txt	key_status_2	644.7000	697.5046875000	1	2	52.804688	aligned_by_order	1
701.0046875000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	648.2000	701.0046875000	0	3	52.804688	txt_key0_present_in_eeg_rare	1
742.9843750000	n/a	stimulus	n/a	190204.0000000000	128	6	eeg+txt	MW_question	690.2000	742.9843750000	n/a	n/a	52.784375	stimulus_value_128_is_MW_prompt_in_EEG	1
746.0664062500	n/a	response	n/a	190993.0000000000	8	6	eeg+txt	key_status_1	693.2000	745.9843750000	3	1	52.784375	aligned_by_order	1
748.4609375000	n/a	response	n/a	191606.0000000000	2	6	eeg+txt	key_status_2	695.7000	748.4843750000	1	2	52.784375	aligned_by_order	1
750.5843750000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	697.8000	750.5843750000	0	3	52.784375	txt_key0_present_in_eeg_rare	1
899.6718750000	n/a	stimulus	n/a	230316.0000000000	128	7	eeg+txt	MW_question	846.9000	899.6718750000	n/a	n/a	52.771875	stimulus_value_128_is_MW_prompt_in_EEG	1
902.5625000000	n/a	response	n/a	231056.0000000000	4	7	eeg+txt	key_status_1	849.7000	902.4718750000	2	1	52.771875	aligned_by_order	1
904.8945312500	n/a	response	n/a	231653.0000000000	2	7	eeg+txt	key_status_2	852.1000	904.8718750000	1	2	52.771875	aligned_by_order	1
