onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
81.0273437500	n/a	stimulus	n/a	20743.0000000000	128	1	eeg+txt	MW_question	62.1000	81.0273437500	n/a	n/a	18.927344	stimulus_value_128_is_MW_prompt_in_EEG	1
84.6835937500	n/a	response	n/a	21679.0000000000	2	1	eeg+txt	key_status_1	65.7000	84.6273437500	1	1	18.927344	aligned_by_order	1
87.4375000000	n/a	response	n/a	22384.0000000000	2	1	eeg+txt	key_status_2	68.5000	87.4273437500	1	2	18.927344	aligned_by_order	1
89.7273437500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	70.8000	89.7273437500	0	3	18.927344	txt_key0_present_in_eeg_rare	1
235.7539062500	n/a	stimulus	n/a	60353.0000000000	128	2	eeg+txt	MW_question	216.8000	235.7539062500	n/a	n/a	18.953906	stimulus_value_128_is_MW_prompt_in_EEG	1
239.8710937500	n/a	response	n/a	61407.0000000000	2	2	eeg+txt	key_status_1	220.8000	239.7539062500	1	1	18.953906	aligned_by_order	1
242.3203125000	n/a	response	n/a	62034.0000000000	4	2	eeg+txt	key_status_2	223.3000	242.2539062500	2	2	18.953906	aligned_by_order	1
244.4539062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	225.5000	244.4539062500	0	3	18.953906	txt_key0_present_in_eeg_rare	1
337.5117187500	n/a	stimulus	n/a	86403.0000000000	128	3	eeg+txt	MW_question	318.5000	337.5117187500	n/a	n/a	19.011719	stimulus_value_128_is_MW_prompt_in_EEG	1
340.6054687500	n/a	response	n/a	87195.0000000000	2	3	eeg+txt	key_status_1	321.6000	340.6117187500	1	1	19.011719	aligned_by_order	1
342.9335937500	n/a	response	n/a	87791.0000000000	2	3	eeg+txt	key_status_2	323.9000	342.9117187500	1	2	19.011719	aligned_by_order	1
345.2117187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	326.2000	345.2117187500	0	3	19.011719	txt_key0_present_in_eeg_rare	1
385.2382812500	n/a	stimulus	n/a	98621.0000000000	128	4	eeg+txt	MW_question	366.2000	385.2382812500	n/a	n/a	19.038281	stimulus_value_128_is_MW_prompt_in_EEG	1
387.9648437500	n/a	response	n/a	99319.0000000000	4	4	eeg+txt	key_status_1	369.0000	388.0382812500	2	1	19.038281	aligned_by_order	1
390.1640625000	n/a	response	n/a	99882.0000000000	2	4	eeg+txt	key_status_2	371.2000	390.2382812500	1	2	19.038281	aligned_by_order	1
396.7382812500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	377.7000	396.7382812500	0	3	19.038281	txt_key0_present_in_eeg_rare	1
427.7304687500	n/a	stimulus	n/a	109499.0000000000	128	5	eeg+txt	MW_question	408.7000	427.7304687500	n/a	n/a	19.030469	stimulus_value_128_is_MW_prompt_in_EEG	1
430.7851562500	n/a	response	n/a	110281.0000000000	2	5	eeg+txt	key_status_1	411.8000	430.8304687500	1	1	19.030469	aligned_by_order	1
433.1093750000	n/a	response	n/a	110876.0000000000	2	5	eeg+txt	key_status_2	414.1000	433.1304687500	1	2	19.030469	aligned_by_order	1
435.4304687500	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	416.4000	435.4304687500	0	3	19.030469	txt_key0_present_in_eeg_rare	1
579.4570312500	n/a	stimulus	n/a	148341.0000000000	128	6	eeg+txt	MW_question	560.5000	579.4570312500	n/a	n/a	18.957031	stimulus_value_128_is_MW_prompt_in_EEG	1
582.6640625000	n/a	response	n/a	149162.0000000000	2	6	eeg+txt	key_status_1	563.7000	582.6570312500	1	1	18.957031	aligned_by_order	1
585.5195312500	n/a	response	n/a	149893.0000000000	2	6	eeg+txt	key_status_2	566.5000	585.4570312500	1	2	18.957031	aligned_by_order	1
588.0570312500	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	569.1000	588.0570312500	0	3	18.957031	txt_key0_present_in_eeg_rare	1
740.1289062500	n/a	stimulus	n/a	189473.0000000000	128	7	eeg+txt	MW_question	721.1000	740.1289062500	n/a	n/a	19.028906	stimulus_value_128_is_MW_prompt_in_EEG	1
742.7890625000	n/a	response	n/a	190154.0000000000	2	7	eeg+txt	key_status_1	723.8000	742.8289062500	1	1	19.028906	aligned_by_order	1
745.2070312500	n/a	response	n/a	190773.0000000000	4	7	eeg+txt	key_status_2	726.2000	745.2289062500	2	2	19.028906	aligned_by_order	1
747.7289062500	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_3	728.7000	747.7289062500	0	3	19.028906	txt_key0_present_in_eeg_rare	1
813.7382812500	n/a	stimulus	n/a	208317.0000000000	128	8	eeg+txt	MW_question	794.7000	813.7382812500	n/a	n/a	19.038281	stimulus_value_128_is_MW_prompt_in_EEG	1
816.6875000000	n/a	response	n/a	209072.0000000000	4	8	eeg+txt	key_status_1	797.7000	816.7382812500	2	1	19.038281	aligned_by_order	1
818.8867187500	n/a	response	n/a	209635.0000000000	2	8	eeg+txt	key_status_2	799.8000	818.8382812500	1	2	19.038281	aligned_by_order	1
821.3382812500	n/a	response	n/a	n/a	1	8	eeg+txt	key_status_3	802.3000	821.3382812500	0	3	19.038281	txt_key0_present_in_eeg_rare	1
933.3359375000	n/a	stimulus	n/a	238934.0000000000	128	9	eeg+txt	MW_question	914.3000	933.3359375000	n/a	n/a	19.035938	stimulus_value_128_is_MW_prompt_in_EEG	1
936.6757812500	n/a	response	n/a	239789.0000000000	4	9	eeg+txt	key_status_1	917.6000	936.6359375000	2	1	19.035938	aligned_by_order	1
939.4687500000	n/a	response	n/a	240504.0000000000	2	9	eeg+txt	key_status_2	920.4000	939.4359375000	1	2	19.035938	aligned_by_order	1
941.8359375000	n/a	response	n/a	n/a	1	9	eeg+txt	key_status_3	922.8000	941.8359375000	0	3	19.035938	txt_key0_present_in_eeg_rare	1
994.8906250000	n/a	stimulus	n/a	254692.0000000000	128	10	eeg+txt	MW_question	975.9000	994.8906250000	n/a	n/a	18.990625	stimulus_value_128_is_MW_prompt_in_EEG	1
999.1914062500	n/a	response	n/a	255793.0000000000	4	10	eeg+txt	key_status_1	980.1000	999.0906250000	2	1	18.990625	aligned_by_order	1
1001.4453125000	n/a	response	n/a	256370.0000000000	2	10	eeg+txt	key_status_2	982.4000	1001.3906250000	1	2	18.990625	aligned_by_order	1
1004.6906250000	n/a	response	n/a	n/a	1	10	eeg+txt	key_status_3	985.7000	1004.6906250000	0	3	18.990625	txt_key0_present_in_eeg_rare	1
1048.8164062500	n/a	stimulus	n/a	268497.0000000000	128	11	eeg+txt	MW_question	1029.8000	1048.8164062500	n/a	n/a	19.016406	stimulus_value_128_is_MW_prompt_in_EEG	1
1051.6796875000	n/a	response	n/a	269230.0000000000	2	11	eeg+txt	key_status_1	1032.6000	1051.6164062500	1	1	19.016406	aligned_by_order	1
1053.9687500000	n/a	response	n/a	269816.0000000000	2	11	eeg+txt	key_status_2	1034.9000	1053.9164062500	1	2	19.016406	aligned_by_order	1
1056.1164062500	n/a	response	n/a	n/a	1	11	eeg+txt	key_status_3	1037.1000	1056.1164062500	0	3	19.016406	txt_key0_present_in_eeg_rare	1
1171.1679687500	n/a	stimulus	n/a	299819.0000000000	128	12	eeg+txt	MW_question	1152.1000	1171.1679687500	n/a	n/a	19.067969	stimulus_value_128_is_MW_prompt_in_EEG	1
1174.0742187500	n/a	response	n/a	300563.0000000000	2	12	eeg+txt	key_status_1	1155.0000	1174.0679687500	1	1	19.067969	aligned_by_order	1
1176.6601562500	n/a	response	n/a	301225.0000000000	4	12	eeg+txt	key_status_2	1157.6000	1176.6679687500	2	2	19.067969	aligned_by_order	1
1178.9679687500	n/a	response	n/a	n/a	1	12	eeg+txt	key_status_3	1159.9000	1178.9679687500	0	3	19.067969	txt_key0_present_in_eeg_rare	1
1252.9179687500	n/a	stimulus	n/a	320747.0000000000	128	13	eeg+txt	MW_question	1233.9000	1252.9179687500	n/a	n/a	19.017969	stimulus_value_128_is_MW_prompt_in_EEG	1
