onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
131.1718750000	n/a	stimulus	n/a	33580.0000000000	128	1	eeg+txt	MW_question	122.1000	131.1718750000	n/a	n/a	9.071875	stimulus_value_128_is_MW_prompt_in_EEG	1
140.4296875000	n/a	response	n/a	35950.0000000000	1	1	eeg+txt	key_status_1	128.5000	137.5718750000	0	1	9.071875	txt_key0_present_in_eeg_rare	1
142.5718750000	n/a	response	n/a	n/a	4	1	eeg+txt	key_status_2	131.4000	140.4718750000	2	2	9.071875	aligned_by_order	1
142.6015625000	n/a	response	n/a	36506.0000000000	2	1	eeg+txt	key_status_3	133.5000	142.5718750000	1	3	9.071875	aligned_by_order	1
262.6093750000	n/a	stimulus	n/a	67228.0000000000	128	2	eeg+txt	MW_question	253.5000	262.6093750000	n/a	n/a	9.109375	stimulus_value_128_is_MW_prompt_in_EEG	1
269.0742187500	n/a	response	n/a	68883.0000000000	1	2	eeg+txt	key_status_1	257.8000	266.9093750000	0	1	9.109375	txt_key0_present_in_eeg_rare	1
271.2734375000	n/a	response	n/a	69446.0000000000	4	2	eeg+txt	key_status_2	260.0000	269.1093750000	2	2	9.109375	aligned_by_order	1
271.3093750000	n/a	response	n/a	n/a	2	2	eeg+txt	key_status_3	262.2000	271.3093750000	1	3	9.109375	aligned_by_order	1
361.2812500000	n/a	stimulus	n/a	92488.0000000000	128	3	eeg+txt	MW_question	352.2000	361.2812500000	n/a	n/a	9.081250	stimulus_value_128_is_MW_prompt_in_EEG	1
366.5742187500	n/a	response	n/a	93843.0000000000	1	3	eeg+txt	key_status_1	355.3000	364.3812500000	0	1	9.081250	txt_key0_present_in_eeg_rare	1
369.1796875000	n/a	response	n/a	94510.0000000000	4	3	eeg+txt	key_status_2	357.5000	366.5812500000	2	2	9.081250	aligned_by_order	1
369.1812500000	n/a	response	n/a	n/a	2	3	eeg+txt	key_status_3	360.1000	369.1812500000	1	3	9.081250	aligned_by_order	1
477.1757812500	n/a	stimulus	n/a	122157.0000000000	128	4	eeg+txt	MW_question	468.1000	477.1757812500	n/a	n/a	9.075781	stimulus_value_128_is_MW_prompt_in_EEG	1
480.0117187500	n/a	response	n/a	122883.0000000000	2	4	eeg+txt	key_status_1	470.9000	479.9757812500	1	1	9.075781	aligned_by_order	1
482.1992187500	n/a	response	n/a	123443.0000000000	4	4	eeg+txt	key_status_2	473.1000	482.1757812500	2	2	9.075781	aligned_by_order	1
484.3750000000	n/a	response	n/a	124000.0000000000	2	4	eeg+txt	key_status_3	475.3000	484.3757812500	1	3	9.075781	aligned_by_order	1
526.3789062500	n/a	stimulus	n/a	134753.0000000000	128	5	eeg+txt	MW_question	517.3000	526.3789062500	n/a	n/a	9.078906	stimulus_value_128_is_MW_prompt_in_EEG	1
