onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
29.0781250000	n/a	stimulus	n/a	7444.0000000000	128	1	eeg+txt	MW_question	31.1000	29.0781250000	n/a	n/a	-2.021875	stimulus_value_128_is_MW_prompt_in_EEG	1
33.0937500000	n/a	response	n/a	8472.0000000000	2	1	eeg+txt	key_status_1	35.1000	33.0781250000	1	1	-2.021875	aligned_by_order	1
35.5703125000	n/a	response	n/a	9106.0000000000	4	1	eeg+txt	key_status_2	37.5000	35.4781250000	2	2	-2.021875	aligned_by_order	1
37.8781250000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	39.9000	37.8781250000	0	3	-2.021875	txt_key0_present_in_eeg_rare	1
186.9101562500	n/a	stimulus	n/a	47849.0000000000	128	2	eeg+txt	MW_question	188.9000	186.9101562500	n/a	n/a	-1.989844	stimulus_value_128_is_MW_prompt_in_EEG	1
190.1367187500	n/a	response	n/a	48675.0000000000	2	2	eeg+txt	key_status_1	192.1000	190.1101562500	1	1	-1.989844	aligned_by_order	1
192.2773437500	n/a	response	n/a	49223.0000000000	4	2	eeg+txt	key_status_2	194.2000	192.2101562500	2	2	-1.989844	aligned_by_order	1
194.8101562500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	196.8000	194.8101562500	0	3	-1.989844	txt_key0_present_in_eeg_rare	1
220.4921875000	n/a	stimulus	n/a	56446.0000000000	128	3	eeg+txt	MW_question	222.5000	220.4921875000	n/a	n/a	-2.007812	stimulus_value_128_is_MW_prompt_in_EEG	1
223.8125000000	n/a	response	n/a	57296.0000000000	8	3	eeg+txt	key_status_1	225.8000	223.7921875000	3	1	-2.007812	aligned_by_order	1
225.9453125000	n/a	response	n/a	57842.0000000000	8	3	eeg+txt	key_status_2	227.9000	225.8921875000	3	2	-2.007812	aligned_by_order	1
238.4921875000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	240.5000	238.4921875000	0	3	-2.007812	txt_key0_present_in_eeg_rare	1
356.5859375000	n/a	stimulus	n/a	91286.0000000000	128	4	eeg+txt	MW_question	358.6000	356.5859375000	n/a	n/a	-2.014063	stimulus_value_128_is_MW_prompt_in_EEG	1
361.4101562500	n/a	response	n/a	92521.0000000000	4	4	eeg+txt	key_status_1	363.3000	361.2859375000	2	1	-2.014063	aligned_by_order	1
363.6054687500	n/a	response	n/a	93083.0000000000	4	4	eeg+txt	key_status_2	365.6000	363.5859375000	2	2	-2.014063	aligned_by_order	1
365.9804687500	n/a	response	n/a	93691.0000000000	2	4	eeg+txt	key_status_3	367.9000	365.8859375000	1	3	-2.014063	aligned_by_order	1
398.9804687500	n/a	stimulus	n/a	102139.0000000000	128	5	eeg+txt	MW_question	400.9000	398.9804687500	n/a	n/a	-1.919531	stimulus_value_128_is_MW_prompt_in_EEG	1
402.1289062500	n/a	response	n/a	102945.0000000000	2	5	eeg+txt	key_status_1	404.0000	402.0804687500	1	1	-1.919531	aligned_by_order	1
404.2656250000	n/a	response	n/a	103492.0000000000	4	5	eeg+txt	key_status_2	406.2000	404.2804687500	2	2	-1.919531	aligned_by_order	1
407.0234375000	n/a	response	n/a	104198.0000000000	2	5	eeg+txt	key_status_3	409.0000	407.0804687500	1	3	-1.919531	aligned_by_order	1
534.0312500000	n/a	stimulus	n/a	136712.0000000000	128	6	eeg+txt	MW_question	536.0000	534.0312500000	n/a	n/a	-1.968750	stimulus_value_128_is_MW_prompt_in_EEG	1
536.6367187500	n/a	response	n/a	137379.0000000000	4	6	eeg+txt	key_status_1	538.5000	536.5312500000	2	1	-1.968750	aligned_by_order	1
538.9726562500	n/a	response	n/a	137977.0000000000	2	6	eeg+txt	key_status_2	540.9000	538.9312500000	1	2	-1.968750	aligned_by_order	1
541.7312500000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	543.7000	541.7312500000	0	3	-1.968750	txt_key0_present_in_eeg_rare	1
666.7968750000	n/a	stimulus	n/a	170700.0000000000	128	7	eeg+txt	MW_question	668.7000	666.7968750000	n/a	n/a	-1.903125	stimulus_value_128_is_MW_prompt_in_EEG	1
669.6171875000	n/a	response	n/a	171422.0000000000	2	7	eeg+txt	key_status_1	671.5000	669.5968750000	1	1	-1.903125	aligned_by_order	1
671.7460937500	n/a	response	n/a	171967.0000000000	8	7	eeg+txt	key_status_2	673.7000	671.7968750000	3	2	-1.903125	aligned_by_order	1
674.7968750000	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_3	676.7000	674.7968750000	0	3	-1.903125	txt_key0_present_in_eeg_rare	1
744.8242187500	n/a	stimulus	n/a	190675.0000000000	128	8	eeg+txt	MW_question	746.8000	744.8242187500	n/a	n/a	-1.975781	stimulus_value_128_is_MW_prompt_in_EEG	1
748.2890625000	n/a	response	n/a	191562.0000000000	4	8	eeg+txt	key_status_1	750.2000	748.2242187500	2	1	-1.975781	aligned_by_order	1
750.4765625000	n/a	response	n/a	192122.0000000000	4	8	eeg+txt	key_status_2	752.4000	750.4242187500	2	2	-1.975781	aligned_by_order	1
752.7382812500	n/a	response	n/a	192701.0000000000	2	8	eeg+txt	key_status_3	754.6000	752.6242187500	1	3	-1.975781	aligned_by_order	1
885.7460937500	n/a	stimulus	n/a	226751.0000000000	128	9	eeg+txt	MW_question	887.7000	885.7460937500	n/a	n/a	-1.953906	stimulus_value_128_is_MW_prompt_in_EEG	1
890.8398437500	n/a	response	n/a	228055.0000000000	1	9	eeg+txt	key_status_1	890.6000	888.6460937500	0	1	-1.953906	txt_key0_present_in_eeg_rare	1
892.9460937500	n/a	response	n/a	n/a	8	9	eeg+txt	key_status_2	892.8000	890.8460937500	3	2	-1.953906	aligned_by_order	1
893.0546875000	n/a	response	n/a	228622.0000000000	4	9	eeg+txt	key_status_3	894.9000	892.9460937500	2	3	-1.953906	aligned_by_order	1
1024.0625000000	n/a	stimulus	n/a	262160.0000000000	128	10	eeg+txt	MW_question	1026.0000	1024.0625000000	n/a	n/a	-1.937500	stimulus_value_128_is_MW_prompt_in_EEG	1
1026.7226562500	n/a	response	n/a	262841.0000000000	2	10	eeg+txt	key_status_1	1028.6000	1026.6625000000	1	1	-1.937500	aligned_by_order	1
1028.9140625000	n/a	response	n/a	263402.0000000000	4	10	eeg+txt	key_status_2	1030.8000	1028.8625000000	2	2	-1.937500	aligned_by_order	1
1031.0898437500	n/a	response	n/a	263959.0000000000	4	10	eeg+txt	key_status_3	1033.0000	1031.0625000000	2	3	-1.937500	aligned_by_order	1
1080.0937500000	n/a	stimulus	n/a	276504.0000000000	128	11	eeg+txt	MW_question	1082.0000	1080.0937500000	n/a	n/a	-1.906250	stimulus_value_128_is_MW_prompt_in_EEG	1
1086.3632812500	n/a	response	n/a	278109.0000000000	1	11	eeg+txt	key_status_1	1086.1000	1084.1937500000	0	1	-1.906250	txt_key0_present_in_eeg_rare	1
