onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
179.9140625000	n/a	stimulus	n/a	46058.0000000000	128	1	eeg+txt	MW_question	135.1000	179.9140625000	n/a	n/a	44.814063	stimulus_value_128_is_MW_prompt_in_EEG	1
182.7031250000	n/a	response	n/a	46772.0000000000	4	1	eeg+txt	key_status_1	137.9000	182.7140625000	2	1	44.814063	aligned_by_order	1
185.3281250000	n/a	response	n/a	47444.0000000000	2	1	eeg+txt	key_status_2	140.5000	185.3140625000	1	2	44.814063	aligned_by_order	1
188.5140625000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	143.7000	188.5140625000	0	3	44.814063	txt_key0_present_in_eeg_rare	1
322.5664062500	n/a	stimulus	n/a	82577.0000000000	128	2	eeg+txt	MW_question	277.7000	322.5664062500	n/a	n/a	44.866406	stimulus_value_128_is_MW_prompt_in_EEG	1
325.7890625000	n/a	response	n/a	83402.0000000000	4	2	eeg+txt	key_status_1	280.9000	325.7664062500	2	1	44.866406	aligned_by_order	1
328.0898437500	n/a	response	n/a	83991.0000000000	2	2	eeg+txt	key_status_2	283.2000	328.0664062500	1	2	44.866406	aligned_by_order	1
330.2664062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	285.4000	330.2664062500	0	3	44.866406	txt_key0_present_in_eeg_rare	1
472.2968750000	n/a	stimulus	n/a	120908.0000000000	128	3	eeg+txt	MW_question	427.5000	472.2968750000	n/a	n/a	44.796875	stimulus_value_128_is_MW_prompt_in_EEG	1
475.2851562500	n/a	response	n/a	121673.0000000000	4	3	eeg+txt	key_status_1	430.4000	475.1968750000	2	1	44.796875	aligned_by_order	1
477.6796875000	n/a	response	n/a	122286.0000000000	2	3	eeg+txt	key_status_2	432.8000	477.5968750000	1	2	44.796875	aligned_by_order	1
479.7968750000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	435.0000	479.7968750000	0	3	44.796875	txt_key0_present_in_eeg_rare	1
605.9101562500	n/a	stimulus	n/a	155113.0000000000	128	4	eeg+txt	MW_question	561.1000	605.9101562500	n/a	n/a	44.810156	stimulus_value_128_is_MW_prompt_in_EEG	1
608.5195312500	n/a	response	n/a	155781.0000000000	4	4	eeg+txt	key_status_1	563.7000	608.5101562500	2	1	44.810156	aligned_by_order	1
610.6289062500	n/a	response	n/a	156321.0000000000	4	4	eeg+txt	key_status_2	565.8000	610.6101562500	2	2	44.810156	aligned_by_order	1
612.8101562500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	568.0000	612.8101562500	0	3	44.810156	txt_key0_present_in_eeg_rare	1
733.8320312500	n/a	stimulus	n/a	187861.0000000000	128	5	eeg+txt	MW_question	689.0000	733.8320312500	n/a	n/a	44.832031	stimulus_value_128_is_MW_prompt_in_EEG	1
736.9531250000	n/a	response	n/a	188660.0000000000	4	5	eeg+txt	key_status_1	692.0000	736.8320312500	2	1	44.832031	aligned_by_order	1
751.4648437500	n/a	response	n/a	192375.0000000000	4	5	eeg+txt	key_status_2	706.5000	751.3320312500	2	2	44.832031	aligned_by_order	1
753.8320312500	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	709.0000	753.8320312500	0	3	44.832031	txt_key0_present_in_eeg_rare	1
783.8515625000	n/a	stimulus	n/a	200666.0000000000	128	6	eeg+txt	MW_question	739.0000	783.8515625000	n/a	n/a	44.851562	stimulus_value_128_is_MW_prompt_in_EEG	1
787.3867187500	n/a	response	n/a	201571.0000000000	2	6	eeg+txt	key_status_1	742.5000	787.3515625000	1	1	44.851562	aligned_by_order	1
789.5234375000	n/a	response	n/a	202118.0000000000	4	6	eeg+txt	key_status_2	744.6000	789.4515625000	2	2	44.851562	aligned_by_order	1
792.1515625000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	747.3000	792.1515625000	0	3	44.851562	txt_key0_present_in_eeg_rare	1
