onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
138.3125000000	n/a	stimulus	n/a	35408.0000000000	128	1	eeg+txt	MW_question	127.1000	138.3125000000	n/a	n/a	11.212500	stimulus_value_128_is_MW_prompt_in_EEG	1
141.1835937500	n/a	response	n/a	36143.0000000000	4	1	eeg+txt	key_status_1	129.9000	141.1125000000	2	1	11.212500	aligned_by_order	1
143.9414062500	n/a	response	n/a	36849.0000000000	2	1	eeg+txt	key_status_2	132.7000	143.9125000000	1	2	11.212500	aligned_by_order	1
146.2125000000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	135.0000	146.2125000000	0	3	11.212500	txt_key0_present_in_eeg_rare	1
298.2617187500	n/a	stimulus	n/a	76355.0000000000	128	2	eeg+txt	MW_question	287.0000	298.2617187500	n/a	n/a	11.261719	stimulus_value_128_is_MW_prompt_in_EEG	1
301.5078125000	n/a	response	n/a	77186.0000000000	4	2	eeg+txt	key_status_1	290.2000	301.4617187500	2	1	11.261719	aligned_by_order	1
303.8125000000	n/a	response	n/a	77776.0000000000	2	2	eeg+txt	key_status_2	292.6000	303.8617187500	1	2	11.261719	aligned_by_order	1
305.9617187500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	294.7000	305.9617187500	0	3	11.261719	txt_key0_present_in_eeg_rare	1
470.0507812500	n/a	stimulus	n/a	120333.0000000000	128	3	eeg+txt	MW_question	458.8000	470.0507812500	n/a	n/a	11.250781	stimulus_value_128_is_MW_prompt_in_EEG	1
472.6640625000	n/a	response	n/a	121002.0000000000	4	3	eeg+txt	key_status_1	461.4000	472.6507812500	2	1	11.250781	aligned_by_order	1
475.0507812500	n/a	response	n/a	121613.0000000000	2	3	eeg+txt	key_status_2	463.7000	474.9507812500	1	2	11.250781	aligned_by_order	1
477.2507812500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	466.0000	477.2507812500	0	3	11.250781	txt_key0_present_in_eeg_rare	1
636.2460937500	n/a	stimulus	n/a	162879.0000000000	128	4	eeg+txt	MW_question	625.0000	636.2460937500	n/a	n/a	11.246094	stimulus_value_128_is_MW_prompt_in_EEG	1
638.7968750000	n/a	response	n/a	163532.0000000000	8	4	eeg+txt	key_status_1	627.5000	638.7460937500	3	1	11.246094	aligned_by_order	1
640.9726562500	n/a	response	n/a	164089.0000000000	2	4	eeg+txt	key_status_2	629.7000	640.9460937500	1	2	11.246094	aligned_by_order	1
643.0460937500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	631.8000	643.0460937500	0	3	11.246094	txt_key0_present_in_eeg_rare	1
788.1406250000	n/a	stimulus	n/a	201764.0000000000	128	5	eeg+txt	MW_question	776.9000	788.1406250000	n/a	n/a	11.240625	stimulus_value_128_is_MW_prompt_in_EEG	1
791.7382812500	n/a	response	n/a	202685.0000000000	4	5	eeg+txt	key_status_1	780.4000	791.6406250000	2	1	11.240625	aligned_by_order	1
794.4179687500	n/a	response	n/a	203371.0000000000	2	5	eeg+txt	key_status_2	783.1000	794.3406250000	1	2	11.240625	aligned_by_order	1
796.5406250000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	785.3000	796.5406250000	0	3	11.240625	txt_key0_present_in_eeg_rare	1
931.6015625000	n/a	stimulus	n/a	238490.0000000000	128	6	eeg+txt	MW_question	920.3000	931.6015625000	n/a	n/a	11.301563	stimulus_value_128_is_MW_prompt_in_EEG	1
934.2226562500	n/a	response	n/a	239161.0000000000	4	6	eeg+txt	key_status_1	922.9000	934.2015625000	2	1	11.301563	aligned_by_order	1
936.3085937500	n/a	response	n/a	239695.0000000000	4	6	eeg+txt	key_status_2	925.0000	936.3015625000	2	2	11.301563	aligned_by_order	1
938.5015625000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	927.2000	938.5015625000	0	3	11.301563	txt_key0_present_in_eeg_rare	1
993.5039062500	n/a	stimulus	n/a	254337.0000000000	128	7	eeg+txt	MW_question	982.2000	993.5039062500	n/a	n/a	11.303906	stimulus_value_128_is_MW_prompt_in_EEG	1
997.1250000000	n/a	response	n/a	255264.0000000000	2	7	eeg+txt	key_status_1	985.8000	997.1039062500	1	1	11.303906	aligned_by_order	1
1000.5781250000	n/a	response	n/a	256148.0000000000	4	7	eeg+txt	key_status_2	989.3000	1000.6039062500	2	2	11.303906	aligned_by_order	1
1010.3039062500	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_3	999.0000	1010.3039062500	0	3	11.303906	txt_key0_present_in_eeg_rare	1
1112.3046875000	n/a	stimulus	n/a	284750.0000000000	128	8	eeg+txt	MW_question	1101.0000	1112.3046875000	n/a	n/a	11.304688	stimulus_value_128_is_MW_prompt_in_EEG	1
1116.0078125000	n/a	response	n/a	285698.0000000000	4	8	eeg+txt	key_status_1	1104.7000	1116.0046875000	2	1	11.304688	aligned_by_order	1
1119.4218750000	n/a	response	n/a	286572.0000000000	4	8	eeg+txt	key_status_2	1108.1000	1119.4046875000	2	2	11.304688	aligned_by_order	1
1121.6046875000	n/a	response	n/a	n/a	1	8	eeg+txt	key_status_3	1110.3000	1121.6046875000	0	3	11.304688	txt_key0_present_in_eeg_rare	1
1229.6523437500	n/a	stimulus	n/a	314791.0000000000	128	9	eeg+txt	MW_question	1218.3000	1229.6523437500	n/a	n/a	11.352344	stimulus_value_128_is_MW_prompt_in_EEG	1
1232.2539062500	n/a	response	n/a	315457.0000000000	4	9	eeg+txt	key_status_1	1220.9000	1232.2523437500	2	1	11.352344	aligned_by_order	1
1234.3515625000	n/a	response	n/a	315994.0000000000	2	9	eeg+txt	key_status_2	1223.0000	1234.3523437500	1	2	11.352344	aligned_by_order	1
1236.5523437500	n/a	response	n/a	n/a	1	9	eeg+txt	key_status_3	1225.2000	1236.5523437500	0	3	11.352344	txt_key0_present_in_eeg_rare	1
1262.5390625000	n/a	stimulus	n/a	323210.0000000000	128	10	eeg+txt	MW_question	1251.2000	1262.5390625000	n/a	n/a	11.339062	stimulus_value_128_is_MW_prompt_in_EEG	1
1265.5273437500	n/a	response	n/a	323975.0000000000	8	10	eeg+txt	key_status_1	1254.2000	1265.5390625000	3	1	11.339062	aligned_by_order	1
1267.6250000000	n/a	response	n/a	324512.0000000000	2	10	eeg+txt	key_status_2	1256.3000	1267.6390625000	1	2	11.339062	aligned_by_order	1
1272.1390625000	n/a	response	n/a	n/a	1	10	eeg+txt	key_status_3	1260.8000	1272.1390625000	0	3	11.339062	txt_key0_present_in_eeg_rare	1
1323.0976562500	n/a	stimulus	n/a	338713.0000000000	128	11	eeg+txt	MW_question	1311.8000	1323.0976562500	n/a	n/a	11.297656	stimulus_value_128_is_MW_prompt_in_EEG	1
1326.1484375000	n/a	response	n/a	339494.0000000000	4	11	eeg+txt	key_status_1	1314.8000	1326.0976562500	2	1	11.297656	aligned_by_order	1
1328.4492187500	n/a	response	n/a	340083.0000000000	2	11	eeg+txt	key_status_2	1317.1000	1328.3976562500	1	2	11.297656	aligned_by_order	1
1330.5976562500	n/a	response	n/a	n/a	1	11	eeg+txt	key_status_3	1319.3000	1330.5976562500	0	3	11.297656	txt_key0_present_in_eeg_rare	1
1487.6484375000	n/a	stimulus	n/a	380838.0000000000	128	12	eeg+txt	MW_question	1476.3000	1487.6484375000	n/a	n/a	11.348438	stimulus_value_128_is_MW_prompt_in_EEG	1
1492.0585937500	n/a	response	n/a	381967.0000000000	2	12	eeg+txt	key_status_1	1480.7000	1492.0484375000	1	1	11.348438	aligned_by_order	1
1495.4765625000	n/a	response	n/a	382842.0000000000	8	12	eeg+txt	key_status_2	1484.1000	1495.4484375000	3	2	11.348438	aligned_by_order	1
1497.6484375000	n/a	response	n/a	n/a	1	12	eeg+txt	key_status_3	1486.3000	1497.6484375000	0	3	11.348438	txt_key0_present_in_eeg_rare	1
1647.6484375000	n/a	stimulus	n/a	421798.0000000000	128	13	eeg+txt	MW_question	1636.3000	1647.6484375000	n/a	n/a	11.348438	stimulus_value_128_is_MW_prompt_in_EEG	1
1650.5234375000	n/a	response	n/a	422534.0000000000	4	13	eeg+txt	key_status_1	1639.2000	1650.5484375000	2	1	11.348438	aligned_by_order	1
1652.7265625000	n/a	response	n/a	423098.0000000000	4	13	eeg+txt	key_status_2	1641.3000	1652.6484375000	2	2	11.348438	aligned_by_order	1
1654.8984375000	n/a	response	n/a	423654.0000000000	2	13	eeg+txt	key_status_3	1643.5000	1654.8484375000	1	3	11.348438	aligned_by_order	1
1727.9023437500	n/a	stimulus	n/a	442343.0000000000	128	14	eeg+txt	MW_question	1716.5000	1727.9023437500	n/a	n/a	11.402344	stimulus_value_128_is_MW_prompt_in_EEG	1
1732.1015625000	n/a	response	n/a	443418.0000000000	4	14	eeg+txt	key_status_1	1720.7000	1732.1023437500	2	1	11.402344	aligned_by_order	1
1734.5859375000	n/a	response	n/a	444054.0000000000	2	14	eeg+txt	key_status_2	1723.2000	1734.6023437500	1	2	11.402344	aligned_by_order	1
1736.7773437500	n/a	response	n/a	444615.0000000000	2	14	eeg+txt	key_status_3	1725.4000	1736.8023437500	1	3	11.402344	aligned_by_order	1
1771.7812500000	n/a	stimulus	n/a	453576.0000000000	128	15	eeg+txt	MW_question	1760.4000	1771.7812500000	n/a	n/a	11.381250	stimulus_value_128_is_MW_prompt_in_EEG	1
1775.1328125000	n/a	response	n/a	454434.0000000000	2	15	eeg+txt	key_status_1	1763.8000	1775.1812500000	1	1	11.381250	aligned_by_order	1
1777.6132812500	n/a	response	n/a	455069.0000000000	4	15	eeg+txt	key_status_2	1766.2000	1777.5812500000	2	2	11.381250	aligned_by_order	1
1779.7812500000	n/a	response	n/a	455624.0000000000	2	15	eeg+txt	key_status_3	1768.4000	1779.7812500000	1	3	11.381250	aligned_by_order	1
1803.7851562500	n/a	stimulus	n/a	461769.0000000000	128	16	eeg+txt	MW_question	1792.4000	1803.7851562500	n/a	n/a	11.385156	stimulus_value_128_is_MW_prompt_in_EEG	1
1806.4023437500	n/a	response	n/a	462439.0000000000	4	16	eeg+txt	key_status_1	1795.0000	1806.3851562500	2	1	11.385156	aligned_by_order	1
1808.5195312500	n/a	response	n/a	462981.0000000000	2	16	eeg+txt	key_status_2	1797.1000	1808.4851562500	1	2	11.385156	aligned_by_order	1
1810.6718750000	n/a	response	n/a	463532.0000000000	2	16	eeg+txt	key_status_3	1799.3000	1810.6851562500	1	3	11.385156	aligned_by_order	1
1827.6757812500	n/a	stimulus	n/a	467885.0000000000	128	17	eeg+txt	MW_question	1816.3000	1827.6757812500	n/a	n/a	11.375781	stimulus_value_128_is_MW_prompt_in_EEG	1
1830.3828125000	n/a	response	n/a	468578.0000000000	4	17	eeg+txt	key_status_1	1819.0000	1830.3757812500	2	1	11.375781	aligned_by_order	1
1833.1445312500	n/a	response	n/a	469285.0000000000	2	17	eeg+txt	key_status_2	1821.7000	1833.0757812500	1	2	11.375781	aligned_by_order	1
1835.6757812500	n/a	response	n/a	n/a	1	17	eeg+txt	key_status_3	1824.3000	1835.6757812500	0	3	11.375781	txt_key0_present_in_eeg_rare	1
1960.7031250000	n/a	stimulus	n/a	501940.0000000000	128	18	eeg+txt	MW_question	1949.3000	1960.7031250000	n/a	n/a	11.403125	stimulus_value_128_is_MW_prompt_in_EEG	1
1964.2656250000	n/a	response	n/a	502852.0000000000	4	18	eeg+txt	key_status_1	1952.8000	1964.2031250000	2	1	11.403125	aligned_by_order	1
1966.8632812500	n/a	response	n/a	503517.0000000000	2	18	eeg+txt	key_status_2	1955.5000	1966.9031250000	1	2	11.403125	aligned_by_order	1
