onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
105.9335937500	n/a	stimulus	n/a	27119.0000000000	128	1	eeg+txt	MW_question	91.1000	105.9335937500	n/a	n/a	14.833594	stimulus_value_128_is_MW_prompt_in_EEG	1
108.9609375000	n/a	response	n/a	27894.0000000000	4	1	eeg+txt	key_status_1	94.1000	108.9335937500	2	1	14.833594	aligned_by_order	1
113.4062500000	n/a	response	n/a	29032.0000000000	2	1	eeg+txt	key_status_2	98.5000	113.3335937500	1	2	14.833594	aligned_by_order	1
116.5335937500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	101.7000	116.5335937500	0	3	14.833594	txt_key0_present_in_eeg_rare	1
135.6054687500	n/a	stimulus	n/a	34715.0000000000	128	2	eeg+txt	MW_question	120.7000	135.6054687500	n/a	n/a	14.905469	stimulus_value_128_is_MW_prompt_in_EEG	1
138.7617187500	n/a	response	n/a	35523.0000000000	2	2	eeg+txt	key_status_1	123.9000	138.8054687500	1	1	14.905469	aligned_by_order	1
141.5546875000	n/a	response	n/a	36238.0000000000	2	2	eeg+txt	key_status_2	126.7000	141.6054687500	1	2	14.905469	aligned_by_order	1
144.1054687500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	129.2000	144.1054687500	0	3	14.905469	txt_key0_present_in_eeg_rare	1
246.1015625000	n/a	stimulus	n/a	63002.0000000000	128	3	eeg+txt	MW_question	231.2000	246.1015625000	n/a	n/a	14.901563	stimulus_value_128_is_MW_prompt_in_EEG	1
251.2500000000	n/a	response	n/a	64320.0000000000	4	3	eeg+txt	key_status_1	236.3000	251.2015625000	2	1	14.901563	aligned_by_order	1
253.4062500000	n/a	response	n/a	64872.0000000000	2	3	eeg+txt	key_status_2	238.5000	253.4015625000	1	2	14.901563	aligned_by_order	1
255.8015625000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	240.9000	255.8015625000	0	3	14.901563	txt_key0_present_in_eeg_rare	1
352.8242187500	n/a	stimulus	n/a	90323.0000000000	128	4	eeg+txt	MW_question	337.9000	352.8242187500	n/a	n/a	14.924219	stimulus_value_128_is_MW_prompt_in_EEG	1
355.4492187500	n/a	response	n/a	90995.0000000000	2	4	eeg+txt	key_status_1	340.6000	355.5242187500	1	1	14.924219	aligned_by_order	1
358.7968750000	n/a	response	n/a	91852.0000000000	2	4	eeg+txt	key_status_2	343.9000	358.8242187500	1	2	14.924219	aligned_by_order	1
361.6242187500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	346.7000	361.6242187500	0	3	14.924219	txt_key0_present_in_eeg_rare	1
470.6210937500	n/a	stimulus	n/a	120479.0000000000	128	5	eeg+txt	MW_question	455.7000	470.6210937500	n/a	n/a	14.921094	stimulus_value_128_is_MW_prompt_in_EEG	1
474.0625000000	n/a	response	n/a	121360.0000000000	4	5	eeg+txt	key_status_1	459.2000	474.1210937500	2	1	14.921094	aligned_by_order	1
476.3828125000	n/a	response	n/a	121954.0000000000	4	5	eeg+txt	key_status_2	461.5000	476.4210937500	2	2	14.921094	aligned_by_order	1
479.1210937500	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	464.2000	479.1210937500	0	3	14.921094	txt_key0_present_in_eeg_rare	1
642.1914062500	n/a	stimulus	n/a	164401.0000000000	128	6	eeg+txt	MW_question	627.3000	642.1914062500	n/a	n/a	14.891406	stimulus_value_128_is_MW_prompt_in_EEG	1
647.0312500000	n/a	response	n/a	165640.0000000000	4	6	eeg+txt	key_status_1	632.1000	646.9914062500	2	1	14.891406	aligned_by_order	1
