onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
168.6210937500	n/a	stimulus	n/a	43167.0000000000	128	1	eeg+txt	MW_question	155.1000	168.6210937500	n/a	n/a	13.521094	stimulus_value_128_is_MW_prompt_in_EEG	1
171.4570312500	n/a	response	n/a	43893.0000000000	2	1	eeg+txt	key_status_1	157.9000	171.4210937500	1	1	13.521094	aligned_by_order	1
174.4335937500	n/a	response	n/a	44655.0000000000	4	1	eeg+txt	key_status_2	160.9000	174.4210937500	2	2	13.521094	aligned_by_order	1
176.6367187500	n/a	response	n/a	45219.0000000000	2	1	eeg+txt	key_status_3	163.1000	176.6210937500	1	3	13.521094	aligned_by_order	1
193.6367187500	n/a	stimulus	n/a	49571.0000000000	128	2	eeg+txt	MW_question	180.1000	193.6367187500	n/a	n/a	13.536719	stimulus_value_128_is_MW_prompt_in_EEG	1
197.0859375000	n/a	response	n/a	50454.0000000000	4	2	eeg+txt	key_status_1	183.5000	197.0367187500	2	1	13.536719	aligned_by_order	1
199.2890625000	n/a	response	n/a	51018.0000000000	2	2	eeg+txt	key_status_2	185.7000	199.2367187500	1	2	13.536719	aligned_by_order	1
201.6601562500	n/a	response	n/a	51625.0000000000	2	2	eeg+txt	key_status_3	188.1000	201.6367187500	1	3	13.536719	aligned_by_order	1
263.6562500000	n/a	stimulus	n/a	67496.0000000000	128	3	eeg+txt	MW_question	250.1000	263.6562500000	n/a	n/a	13.556250	stimulus_value_128_is_MW_prompt_in_EEG	1
267.5703125000	n/a	response	n/a	68498.0000000000	2	3	eeg+txt	key_status_1	254.0000	267.5562500000	1	1	13.556250	aligned_by_order	1
270.3750000000	n/a	response	n/a	69216.0000000000	4	3	eeg+txt	key_status_2	256.8000	270.3562500000	2	2	13.556250	aligned_by_order	1
272.5585937500	n/a	response	n/a	69775.0000000000	2	3	eeg+txt	key_status_3	259.0000	272.5562500000	1	3	13.556250	aligned_by_order	1
326.5546875000	n/a	stimulus	n/a	83598.0000000000	128	4	eeg+txt	MW_question	313.0000	326.5546875000	n/a	n/a	13.554688	stimulus_value_128_is_MW_prompt_in_EEG	1
329.1914062500	n/a	response	n/a	84273.0000000000	4	4	eeg+txt	key_status_1	315.6000	329.1546875000	2	1	13.554688	aligned_by_order	1
331.3007812500	n/a	response	n/a	84813.0000000000	2	4	eeg+txt	key_status_2	317.7000	331.2546875000	1	2	13.554688	aligned_by_order	1
333.4921875000	n/a	response	n/a	85374.0000000000	2	4	eeg+txt	key_status_3	319.9000	333.4546875000	1	3	13.554688	aligned_by_order	1
416.4960937500	n/a	stimulus	n/a	106623.0000000000	128	5	eeg+txt	MW_question	402.9000	416.4960937500	n/a	n/a	13.596094	stimulus_value_128_is_MW_prompt_in_EEG	1
419.7148437500	n/a	response	n/a	107447.0000000000	8	5	eeg+txt	key_status_1	406.1000	419.6960937500	3	1	13.596094	aligned_by_order	1
422.3710937500	n/a	response	n/a	108127.0000000000	2	5	eeg+txt	key_status_2	408.8000	422.3960937500	1	2	13.596094	aligned_by_order	1
424.8281250000	n/a	response	n/a	108756.0000000000	2	5	eeg+txt	key_status_3	411.3000	424.8960937500	1	3	13.596094	aligned_by_order	1
462.8320312500	n/a	stimulus	n/a	118485.0000000000	128	6	eeg+txt	MW_question	449.3000	462.8320312500	n/a	n/a	13.532031	stimulus_value_128_is_MW_prompt_in_EEG	1
465.4843750000	n/a	response	n/a	119164.0000000000	4	6	eeg+txt	key_status_1	451.9000	465.4320312500	2	1	13.532031	aligned_by_order	1
467.6132812500	n/a	response	n/a	119709.0000000000	2	6	eeg+txt	key_status_2	454.0000	467.5320312500	1	2	13.532031	aligned_by_order	1
469.8085937500	n/a	response	n/a	120271.0000000000	2	6	eeg+txt	key_status_3	456.2000	469.7320312500	1	3	13.532031	aligned_by_order	1
496.8085937500	n/a	stimulus	n/a	127183.0000000000	128	7	eeg+txt	MW_question	483.2000	496.8085937500	n/a	n/a	13.608594	stimulus_value_128_is_MW_prompt_in_EEG	1
499.4492187500	n/a	response	n/a	127859.0000000000	8	7	eeg+txt	key_status_1	485.9000	499.5085937500	3	1	13.608594	aligned_by_order	1
501.9140625000	n/a	response	n/a	128490.0000000000	2	7	eeg+txt	key_status_2	488.3000	501.9085937500	1	2	13.608594	aligned_by_order	1
504.6562500000	n/a	response	n/a	129192.0000000000	2	7	eeg+txt	key_status_3	491.1000	504.7085937500	1	3	13.608594	aligned_by_order	1
520.6445312500	n/a	stimulus	n/a	133285.0000000000	128	8	eeg+txt	MW_question	507.1000	520.6445312500	n/a	n/a	13.544531	stimulus_value_128_is_MW_prompt_in_EEG	1
524.4960937500	n/a	response	n/a	134271.0000000000	8	8	eeg+txt	key_status_1	510.9000	524.4445312500	3	1	13.544531	aligned_by_order	1
527.4140625000	n/a	response	n/a	135018.0000000000	2	8	eeg+txt	key_status_2	513.8000	527.3445312500	1	2	13.544531	aligned_by_order	1
530.5429687500	n/a	response	n/a	135819.0000000000	2	8	eeg+txt	key_status_3	517.0000	530.5445312500	1	3	13.544531	aligned_by_order	1
558.5351562500	n/a	stimulus	n/a	142985.0000000000	128	9	eeg+txt	MW_question	545.0000	558.5351562500	n/a	n/a	13.535156	stimulus_value_128_is_MW_prompt_in_EEG	1
561.3085937500	n/a	response	n/a	143695.0000000000	8	9	eeg+txt	key_status_1	547.7000	561.2351562500	3	1	13.535156	aligned_by_order	1
563.7734375000	n/a	response	n/a	144326.0000000000	2	9	eeg+txt	key_status_2	550.2000	563.7351562500	1	2	13.535156	aligned_by_order	1
566.0195312500	n/a	response	n/a	144901.0000000000	2	9	eeg+txt	key_status_3	552.4000	565.9351562500	1	3	13.535156	aligned_by_order	1
646.0234375000	n/a	stimulus	n/a	165382.0000000000	128	10	eeg+txt	MW_question	632.4000	646.0234375000	n/a	n/a	13.623438	stimulus_value_128_is_MW_prompt_in_EEG	1
648.6601562500	n/a	response	n/a	166057.0000000000	8	10	eeg+txt	key_status_1	635.0000	648.6234375000	3	1	13.623438	aligned_by_order	1
650.7968750000	n/a	response	n/a	166604.0000000000	2	10	eeg+txt	key_status_2	637.2000	650.8234375000	1	2	13.623438	aligned_by_order	1
653.0000000000	n/a	response	n/a	167168.0000000000	2	10	eeg+txt	key_status_3	639.4000	653.0234375000	1	3	13.623438	aligned_by_order	1
690.0039062500	n/a	stimulus	n/a	176641.0000000000	128	11	eeg+txt	MW_question	676.4000	690.0039062500	n/a	n/a	13.603906	stimulus_value_128_is_MW_prompt_in_EEG	1
692.6250000000	n/a	response	n/a	177312.0000000000	8	11	eeg+txt	key_status_1	679.0000	692.6039062500	3	1	13.603906	aligned_by_order	1
694.7343750000	n/a	response	n/a	177852.0000000000	2	11	eeg+txt	key_status_2	681.1000	694.7039062500	1	2	13.603906	aligned_by_order	1
696.9062500000	n/a	response	n/a	178408.0000000000	2	11	eeg+txt	key_status_3	683.3000	696.9039062500	1	3	13.603906	aligned_by_order	1
793.9140625000	n/a	stimulus	n/a	203242.0000000000	128	12	eeg+txt	MW_question	780.3000	793.9140625000	n/a	n/a	13.614063	stimulus_value_128_is_MW_prompt_in_EEG	1
796.5585937500	n/a	response	n/a	203919.0000000000	8	12	eeg+txt	key_status_1	783.0000	796.6140625000	3	1	13.614063	aligned_by_order	1
799.0078125000	n/a	response	n/a	204546.0000000000	2	12	eeg+txt	key_status_2	785.4000	799.0140625000	1	2	13.614063	aligned_by_order	1
801.6640625000	n/a	response	n/a	205226.0000000000	2	12	eeg+txt	key_status_3	788.0000	801.6140625000	1	3	13.614063	aligned_by_order	1
