onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
104.4023437500	n/a	stimulus	n/a	26727.0000000000	128	1	eeg+txt	MW_question	90.1000	104.4023437500	n/a	n/a	14.302344	stimulus_value_128_is_MW_prompt_in_EEG	1
107.4453125000	n/a	response	n/a	27506.0000000000	4	1	eeg+txt	key_status_1	93.1000	107.4023437500	2	1	14.302344	aligned_by_order	1
110.9843750000	n/a	response	n/a	28412.0000000000	2	1	eeg+txt	key_status_2	96.6000	110.9023437500	1	2	14.302344	aligned_by_order	1
113.5023437500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	99.2000	113.5023437500	0	3	14.302344	txt_key0_present_in_eeg_rare	1
239.5859375000	n/a	stimulus	n/a	61334.0000000000	128	2	eeg+txt	MW_question	225.2000	239.5859375000	n/a	n/a	14.385938	stimulus_value_128_is_MW_prompt_in_EEG	1
243.0859375000	n/a	response	n/a	62230.0000000000	2	2	eeg+txt	key_status_1	228.7000	243.0859375000	1	1	14.385938	aligned_by_order	1
245.5234375000	n/a	response	n/a	62854.0000000000	2	2	eeg+txt	key_status_2	231.1000	245.4859375000	1	2	14.385938	aligned_by_order	1
247.6859375000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	233.3000	247.6859375000	0	3	14.385938	txt_key0_present_in_eeg_rare	1
275.7109375000	n/a	stimulus	n/a	70582.0000000000	128	3	eeg+txt	MW_question	261.4000	275.7109375000	n/a	n/a	14.310938	stimulus_value_128_is_MW_prompt_in_EEG	1
281.1640625000	n/a	response	n/a	71978.0000000000	2	3	eeg+txt	key_status_1	266.8000	281.1109375000	1	1	14.310938	aligned_by_order	1
285.0109375000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	270.7000	285.0109375000	0	2	14.310938	txt_key0_present_in_eeg_rare	1
287.1109375000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	272.8000	287.1109375000	0	3	14.310938	txt_key0_present_in_eeg_rare	1
436.2187500000	n/a	stimulus	n/a	111672.0000000000	128	4	eeg+txt	MW_question	421.9000	436.2187500000	n/a	n/a	14.318750	stimulus_value_128_is_MW_prompt_in_EEG	1
440.0585937500	n/a	response	n/a	112655.0000000000	2	4	eeg+txt	key_status_1	425.7000	440.0187500000	1	1	14.318750	aligned_by_order	1
446.9453125000	n/a	response	n/a	114418.0000000000	2	4	eeg+txt	key_status_2	432.6000	446.9187500000	1	2	14.318750	aligned_by_order	1
450.2187500000	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	435.9000	450.2187500000	0	3	14.318750	txt_key0_present_in_eeg_rare	1
604.3476562500	n/a	stimulus	n/a	154713.0000000000	128	5	eeg+txt	MW_question	590.0000	604.3476562500	n/a	n/a	14.347656	stimulus_value_128_is_MW_prompt_in_EEG	1
607.3710937500	n/a	response	n/a	155487.0000000000	4	5	eeg+txt	key_status_1	593.0000	607.3476562500	2	1	14.347656	aligned_by_order	1
609.7476562500	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_2	595.4000	609.7476562500	0	2	14.347656	txt_key0_present_in_eeg_rare	1
611.9476562500	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	597.6000	611.9476562500	0	3	14.347656	txt_key0_present_in_eeg_rare	1
755.9492187500	n/a	stimulus	n/a	193523.0000000000	128	6	eeg+txt	MW_question	741.6000	755.9492187500	n/a	n/a	14.349219	stimulus_value_128_is_MW_prompt_in_EEG	1
759.6132812500	n/a	response	n/a	194461.0000000000	4	6	eeg+txt	key_status_1	745.2000	759.5492187500	2	1	14.349219	aligned_by_order	1
761.9648437500	n/a	response	n/a	195063.0000000000	2	6	eeg+txt	key_status_2	747.6000	761.9492187500	1	2	14.349219	aligned_by_order	1
764.6289062500	n/a	response	n/a	195745.0000000000	2	6	eeg+txt	key_status_3	750.2000	764.5492187500	1	3	14.349219	aligned_by_order	1
862.6250000000	n/a	stimulus	n/a	220832.0000000000	128	7	eeg+txt	MW_question	848.2000	862.6250000000	n/a	n/a	14.425000	stimulus_value_128_is_MW_prompt_in_EEG	1
865.2968750000	n/a	response	n/a	221516.0000000000	2	7	eeg+txt	key_status_1	850.9000	865.3250000000	1	1	14.425000	aligned_by_order	1
867.9765625000	n/a	response	n/a	222202.0000000000	4	7	eeg+txt	key_status_2	853.6000	868.0250000000	2	2	14.425000	aligned_by_order	1
870.2617187500	n/a	response	n/a	222787.0000000000	2	7	eeg+txt	key_status_3	855.8000	870.2250000000	1	3	14.425000	aligned_by_order	1
