onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
82.8046875000	n/a	stimulus	n/a	21198.0000000000	128	1	eeg+txt	MW_question	1309.2000	82.8046875000	n/a	n/a	-1226.395313	stimulus_value_128_is_MW_prompt_in_EEG	1
85.9296875000	n/a	response	n/a	21998.0000000000	2	1	eeg+txt	key_status_1	1312.3000	85.9046875000	1	1	-1226.395313	aligned_by_order	1
89.1046875000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_2	1315.5000	89.1046875000	0	2	-1226.395313	txt_key0_present_in_eeg_rare	1
92.4046875000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	1318.8000	92.4046875000	0	3	-1226.395313	txt_key0_present_in_eeg_rare	1
209.4101562500	n/a	stimulus	n/a	53609.0000000000	128	2	eeg+txt	MW_question	1435.8000	209.4101562500	n/a	n/a	-1226.389844	stimulus_value_128_is_MW_prompt_in_EEG	1
213.2304687500	n/a	response	n/a	54587.0000000000	2	2	eeg+txt	key_status_1	1439.6000	213.2101562500	1	1	-1226.389844	aligned_by_order	1
216.4101562500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_2	1442.8000	216.4101562500	0	2	-1226.389844	txt_key0_present_in_eeg_rare	1
219.6101562500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	1446.0000	219.6101562500	0	3	-1226.389844	txt_key0_present_in_eeg_rare	1
332.5742187500	n/a	stimulus	n/a	85139.0000000000	128	3	eeg+txt	MW_question	1558.9000	332.5742187500	n/a	n/a	-1226.325781	stimulus_value_128_is_MW_prompt_in_EEG	1
335.4492187500	n/a	response	n/a	85875.0000000000	2	3	eeg+txt	key_status_1	1561.8000	335.4742187500	1	1	-1226.325781	aligned_by_order	1
338.3742187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	1564.7000	338.3742187500	0	2	-1226.325781	txt_key0_present_in_eeg_rare	1
340.6742187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	1567.0000	340.6742187500	0	3	-1226.325781	txt_key0_present_in_eeg_rare	1
491.6796875000	n/a	stimulus	n/a	125870.0000000000	128	4	eeg+txt	MW_question	1718.0000	491.6796875000	n/a	n/a	-1226.320312	stimulus_value_128_is_MW_prompt_in_EEG	1
