onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
85.5312500000	n/a	stimulus	n/a	21896.0000000000	128	1	eeg+txt	MW_question	66.1000	85.5312500000	n/a	n/a	19.431250	stimulus_value_128_is_MW_prompt_in_EEG	1
88.1523437500	n/a	response	n/a	22567.0000000000	2	1	eeg+txt	key_status_1	68.7000	88.1312500000	1	1	19.431250	aligned_by_order	1
92.0429687500	n/a	response	n/a	23563.0000000000	4	1	eeg+txt	key_status_2	72.6000	92.0312500000	2	2	19.431250	aligned_by_order	1
95.8515625000	n/a	response	n/a	24538.0000000000	4	1	eeg+txt	key_status_3	76.3000	95.7312500000	2	3	19.431250	aligned_by_order	1
180.8593750000	n/a	stimulus	n/a	46300.0000000000	128	2	eeg+txt	MW_question	161.4000	180.8593750000	n/a	n/a	19.459375	stimulus_value_128_is_MW_prompt_in_EEG	1
183.9023437500	n/a	response	n/a	47079.0000000000	4	2	eeg+txt	key_status_1	164.4000	183.8593750000	2	1	19.459375	aligned_by_order	1
187.8906250000	n/a	response	n/a	48100.0000000000	4	2	eeg+txt	key_status_2	168.4000	187.8593750000	2	2	19.459375	aligned_by_order	1
192.4375000000	n/a	response	n/a	49264.0000000000	4	2	eeg+txt	key_status_3	172.9000	192.3593750000	2	3	19.459375	aligned_by_order	1
314.4453125000	n/a	stimulus	n/a	80498.0000000000	128	3	eeg+txt	MW_question	295.0000	314.4453125000	n/a	n/a	19.445312	stimulus_value_128_is_MW_prompt_in_EEG	1
317.3515625000	n/a	response	n/a	81242.0000000000	4	3	eeg+txt	key_status_1	297.8000	317.2453125000	2	1	19.445312	aligned_by_order	1
320.2460937500	n/a	response	n/a	81983.0000000000	2	3	eeg+txt	key_status_2	300.7000	320.1453125000	1	2	19.445312	aligned_by_order	1
323.8984375000	n/a	response	n/a	82918.0000000000	2	3	eeg+txt	key_status_3	304.4000	323.8453125000	1	3	19.445312	aligned_by_order	1
351.8984375000	n/a	stimulus	n/a	90086.0000000000	128	4	eeg+txt	MW_question	332.4000	351.8984375000	n/a	n/a	19.498438	stimulus_value_128_is_MW_prompt_in_EEG	1
355.8437500000	n/a	response	n/a	91096.0000000000	2	4	eeg+txt	key_status_1	336.3000	355.7984375000	1	1	19.498438	aligned_by_order	1
358.8203125000	n/a	response	n/a	91858.0000000000	4	4	eeg+txt	key_status_2	339.3000	358.7984375000	2	2	19.498438	aligned_by_order	1
362.6523437500	n/a	response	n/a	92839.0000000000	4	4	eeg+txt	key_status_3	343.1000	362.5984375000	2	3	19.498438	aligned_by_order	1
436.6484375000	n/a	stimulus	n/a	111782.0000000000	128	5	eeg+txt	MW_question	417.2000	436.6484375000	n/a	n/a	19.448438	stimulus_value_128_is_MW_prompt_in_EEG	1
