onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
232.0000000000	n/a	stimulus	n/a	59392.0000000000	128	1	eeg+txt	MW_question	164.1000	232.0000000000	n/a	n/a	67.900000	stimulus_value_128_is_MW_prompt_in_EEG	1
236.4648437500	n/a	response	n/a	60535.0000000000	4	1	eeg+txt	key_status_1	168.5000	236.4000000000	2	1	67.900000	aligned_by_order	1
241.8000000000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_2	173.9000	241.8000000000	0	2	67.900000	txt_key0_present_in_eeg_rare	1
244.8000000000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	176.9000	244.8000000000	0	3	67.900000	txt_key0_present_in_eeg_rare	1
269.8710937500	n/a	stimulus	n/a	69087.0000000000	128	2	eeg+txt	MW_question	201.9000	269.8710937500	n/a	n/a	67.971094	stimulus_value_128_is_MW_prompt_in_EEG	1
273.5937500000	n/a	response	n/a	70040.0000000000	4	2	eeg+txt	key_status_1	205.6000	273.5710937500	2	1	67.971094	aligned_by_order	1
275.7710937500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_2	207.8000	275.7710937500	0	2	67.971094	txt_key0_present_in_eeg_rare	1
278.2710937500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	210.3000	278.2710937500	0	3	67.971094	txt_key0_present_in_eeg_rare	1
408.2890625000	n/a	stimulus	n/a	104522.0000000000	128	3	eeg+txt	MW_question	340.3000	408.2890625000	n/a	n/a	67.989062	stimulus_value_128_is_MW_prompt_in_EEG	1
413.1210937500	n/a	response	n/a	105759.0000000000	4	3	eeg+txt	key_status_1	345.2000	413.1890625000	2	1	67.989062	aligned_by_order	1
415.5890625000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	347.6000	415.5890625000	0	2	67.989062	txt_key0_present_in_eeg_rare	1
417.7890625000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	349.8000	417.7890625000	0	3	67.989062	txt_key0_present_in_eeg_rare	1
578.8320312500	n/a	stimulus	n/a	148181.0000000000	128	4	eeg+txt	MW_question	510.9000	578.8320312500	n/a	n/a	67.932031	stimulus_value_128_is_MW_prompt_in_EEG	1
581.8007812500	n/a	response	n/a	148941.0000000000	4	4	eeg+txt	key_status_1	513.8000	581.7320312500	2	1	67.932031	aligned_by_order	1
584.5320312500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_2	516.6000	584.5320312500	0	2	67.932031	txt_key0_present_in_eeg_rare	1
586.8320312500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	518.9000	586.8320312500	0	3	67.932031	txt_key0_present_in_eeg_rare	1
615.8437500000	n/a	stimulus	n/a	157656.0000000000	128	5	eeg+txt	MW_question	547.9000	615.8437500000	n/a	n/a	67.943750	stimulus_value_128_is_MW_prompt_in_EEG	1
620.0859375000	n/a	response	n/a	158742.0000000000	2	5	eeg+txt	key_status_1	552.1000	620.0437500000	1	1	67.943750	aligned_by_order	1
625.0437500000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_2	557.1000	625.0437500000	0	2	67.943750	txt_key0_present_in_eeg_rare	1
