onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
100.6601562500	n/a	stimulus	n/a	25769.0000000000	128	1	eeg+txt	MW_question	83.1000	100.6601562500	n/a	n/a	17.560156	stimulus_value_128_is_MW_prompt_in_EEG	1
105.8046875000	n/a	response	n/a	27086.0000000000	4	1	eeg+txt	key_status_1	88.2000	105.7601562500	2	1	17.560156	aligned_by_order	1
108.2031250000	n/a	response	n/a	27700.0000000000	2	1	eeg+txt	key_status_2	90.6000	108.1601562500	1	2	17.560156	aligned_by_order	1
110.5601562500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	93.0000	110.5601562500	0	3	17.560156	txt_key0_present_in_eeg_rare	1
241.5664062500	n/a	stimulus	n/a	61841.0000000000	128	2	eeg+txt	MW_question	224.0000	241.5664062500	n/a	n/a	17.566406	stimulus_value_128_is_MW_prompt_in_EEG	1
244.7929687500	n/a	response	n/a	62667.0000000000	8	2	eeg+txt	key_status_1	227.1000	244.6664062500	3	1	17.566406	aligned_by_order	1
246.8664062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_2	229.3000	246.8664062500	0	2	17.566406	txt_key0_present_in_eeg_rare	1
249.0664062500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	231.5000	249.0664062500	0	3	17.566406	txt_key0_present_in_eeg_rare	1
278.1054687500	n/a	stimulus	n/a	71195.0000000000	128	3	eeg+txt	MW_question	260.5000	278.1054687500	n/a	n/a	17.605469	stimulus_value_128_is_MW_prompt_in_EEG	1
281.4140625000	n/a	response	n/a	72042.0000000000	8	3	eeg+txt	key_status_1	263.8000	281.4054687500	3	1	17.605469	aligned_by_order	1
283.9054687500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	266.3000	283.9054687500	0	2	17.605469	txt_key0_present_in_eeg_rare	1
286.2054687500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	268.6000	286.2054687500	0	3	17.605469	txt_key0_present_in_eeg_rare	1
409.2265625000	n/a	stimulus	n/a	104762.0000000000	128	4	eeg+txt	MW_question	391.6000	409.2265625000	n/a	n/a	17.626562	stimulus_value_128_is_MW_prompt_in_EEG	1
412.3476562500	n/a	response	n/a	105561.0000000000	8	4	eeg+txt	key_status_1	394.7000	412.3265625000	3	1	17.626562	aligned_by_order	1
415.2265625000	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_2	397.6000	415.2265625000	0	2	17.626562	txt_key0_present_in_eeg_rare	1
417.7265625000	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	400.1000	417.7265625000	0	3	17.626562	txt_key0_present_in_eeg_rare	1
451.8046875000	n/a	stimulus	n/a	115662.0000000000	128	5	eeg+txt	MW_question	434.2000	451.8046875000	n/a	n/a	17.604688	stimulus_value_128_is_MW_prompt_in_EEG	1
454.8710937500	n/a	response	n/a	116447.0000000000	8	5	eeg+txt	key_status_1	437.2000	454.8046875000	3	1	17.604688	aligned_by_order	1
457.2046875000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_2	439.6000	457.2046875000	0	2	17.604688	txt_key0_present_in_eeg_rare	1
459.5046875000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	441.9000	459.5046875000	0	3	17.604688	txt_key0_present_in_eeg_rare	1
499.6171875000	n/a	stimulus	n/a	127902.0000000000	128	6	eeg+txt	MW_question	482.0000	499.6171875000	n/a	n/a	17.617188	stimulus_value_128_is_MW_prompt_in_EEG	1
502.2890625000	n/a	response	n/a	128586.0000000000	8	6	eeg+txt	key_status_1	484.7000	502.3171875000	3	1	17.617188	aligned_by_order	1
504.4171875000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_2	486.8000	504.4171875000	0	2	17.617188	txt_key0_present_in_eeg_rare	1
506.9171875000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	489.3000	506.9171875000	0	3	17.617188	txt_key0_present_in_eeg_rare	1
554.8984375000	n/a	stimulus	n/a	142054.0000000000	128	7	eeg+txt	MW_question	537.3000	554.8984375000	n/a	n/a	17.598438	stimulus_value_128_is_MW_prompt_in_EEG	1
557.5273437500	n/a	response	n/a	142727.0000000000	8	7	eeg+txt	key_status_1	539.9000	557.4984375000	3	1	17.598438	aligned_by_order	1
559.5984375000	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_2	542.0000	559.5984375000	0	2	17.598438	txt_key0_present_in_eeg_rare	1
561.8984375000	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_3	544.3000	561.8984375000	0	3	17.598438	txt_key0_present_in_eeg_rare	1
659.9531250000	n/a	stimulus	n/a	168948.0000000000	128	8	eeg+txt	MW_question	642.3000	659.9531250000	n/a	n/a	17.653125	stimulus_value_128_is_MW_prompt_in_EEG	1
663.0859375000	n/a	response	n/a	169750.0000000000	8	8	eeg+txt	key_status_1	645.4000	663.0531250000	3	1	17.653125	aligned_by_order	1
665.3531250000	n/a	response	n/a	n/a	1	8	eeg+txt	key_status_2	647.7000	665.3531250000	0	2	17.653125	txt_key0_present_in_eeg_rare	1
667.6531250000	n/a	response	n/a	n/a	1	8	eeg+txt	key_status_3	650.0000	667.6531250000	0	3	17.653125	txt_key0_present_in_eeg_rare	1
819.6835937500	n/a	stimulus	n/a	209839.0000000000	128	9	eeg+txt	MW_question	802.0000	819.6835937500	n/a	n/a	17.683594	stimulus_value_128_is_MW_prompt_in_EEG	1
822.9648437500	n/a	response	n/a	210679.0000000000	8	9	eeg+txt	key_status_1	805.3000	822.9835937500	3	1	17.683594	aligned_by_order	1
825.6835937500	n/a	response	n/a	n/a	1	9	eeg+txt	key_status_2	808.0000	825.6835937500	0	2	17.683594	txt_key0_present_in_eeg_rare	1
827.9835937500	n/a	response	n/a	n/a	1	9	eeg+txt	key_status_3	810.3000	827.9835937500	0	3	17.683594	txt_key0_present_in_eeg_rare	1
867.9921875000	n/a	stimulus	n/a	222206.0000000000	128	10	eeg+txt	MW_question	850.3000	867.9921875000	n/a	n/a	17.692188	stimulus_value_128_is_MW_prompt_in_EEG	1
871.5468750000	n/a	response	n/a	223116.0000000000	8	10	eeg+txt	key_status_1	853.9000	871.5921875000	3	1	17.692188	aligned_by_order	1
873.8921875000	n/a	response	n/a	n/a	1	10	eeg+txt	key_status_2	856.2000	873.8921875000	0	2	17.692188	txt_key0_present_in_eeg_rare	1
876.4921875000	n/a	response	n/a	n/a	1	10	eeg+txt	key_status_3	858.8000	876.4921875000	0	3	17.692188	txt_key0_present_in_eeg_rare	1
930.5273437500	n/a	stimulus	n/a	238215.0000000000	128	11	eeg+txt	MW_question	912.9000	930.5273437500	n/a	n/a	17.627344	stimulus_value_128_is_MW_prompt_in_EEG	1
933.4570312500	n/a	response	n/a	238965.0000000000	8	11	eeg+txt	key_status_1	915.8000	933.4273437500	3	1	17.627344	aligned_by_order	1
935.6273437500	n/a	response	n/a	n/a	1	11	eeg+txt	key_status_2	918.0000	935.6273437500	0	2	17.627344	txt_key0_present_in_eeg_rare	1
937.8273437500	n/a	response	n/a	n/a	1	11	eeg+txt	key_status_3	920.2000	937.8273437500	0	3	17.627344	txt_key0_present_in_eeg_rare	1
1012.8867187500	n/a	stimulus	n/a	259299.0000000000	128	12	eeg+txt	MW_question	995.2000	1012.8867187500	n/a	n/a	17.686719	stimulus_value_128_is_MW_prompt_in_EEG	1
1017.9140625000	n/a	response	n/a	260586.0000000000	8	12	eeg+txt	key_status_1	1000.2000	1017.8867187500	3	1	17.686719	aligned_by_order	1
1021.5867187500	n/a	response	n/a	n/a	1	12	eeg+txt	key_status_2	1003.9000	1021.5867187500	0	2	17.686719	txt_key0_present_in_eeg_rare	1
1023.7867187500	n/a	response	n/a	n/a	1	12	eeg+txt	key_status_3	1006.1000	1023.7867187500	0	3	17.686719	txt_key0_present_in_eeg_rare	1
1061.8125000000	n/a	stimulus	n/a	271824.0000000000	128	13	eeg+txt	MW_question	1044.1000	1061.8125000000	n/a	n/a	17.712500	stimulus_value_128_is_MW_prompt_in_EEG	1
1067.9570312500	n/a	response	n/a	273397.0000000000	8	13	eeg+txt	key_status_1	1050.3000	1068.0125000000	3	1	17.712500	aligned_by_order	1
1071.2125000000	n/a	response	n/a	n/a	1	13	eeg+txt	key_status_2	1053.5000	1071.2125000000	0	2	17.712500	txt_key0_present_in_eeg_rare	1
1074.3125000000	n/a	response	n/a	n/a	1	13	eeg+txt	key_status_3	1056.6000	1074.3125000000	0	3	17.712500	txt_key0_present_in_eeg_rare	1
1220.2539062500	n/a	stimulus	n/a	312385.0000000000	128	14	eeg+txt	MW_question	1202.6000	1220.2539062500	n/a	n/a	17.653906	stimulus_value_128_is_MW_prompt_in_EEG	1
1223.3828125000	n/a	response	n/a	313186.0000000000	4	14	eeg+txt	key_status_1	1205.7000	1223.3539062500	2	1	17.653906	aligned_by_order	1
1225.9492187500	n/a	response	n/a	313843.0000000000	2	14	eeg+txt	key_status_2	1208.3000	1225.9539062500	1	2	17.653906	aligned_by_order	1
1228.3539062500	n/a	response	n/a	n/a	1	14	eeg+txt	key_status_3	1210.7000	1228.3539062500	0	3	17.653906	txt_key0_present_in_eeg_rare	1
1323.4140625000	n/a	stimulus	n/a	338794.0000000000	128	15	eeg+txt	MW_question	1305.7000	1323.4140625000	n/a	n/a	17.714062	stimulus_value_128_is_MW_prompt_in_EEG	1
1328.9140625000	n/a	response	n/a	340202.0000000000	4	15	eeg+txt	key_status_1	1311.2000	1328.9140625000	2	1	17.714062	aligned_by_order	1
1332.4140625000	n/a	response	n/a	341098.0000000000	2	15	eeg+txt	key_status_2	1314.7000	1332.4140625000	1	2	17.714062	aligned_by_order	1
1335.4140625000	n/a	response	n/a	n/a	1	15	eeg+txt	key_status_3	1317.7000	1335.4140625000	0	3	17.714062	txt_key0_present_in_eeg_rare	1
1395.3593750000	n/a	stimulus	n/a	357212.0000000000	128	16	eeg+txt	MW_question	1377.7000	1395.3593750000	n/a	n/a	17.659375	stimulus_value_128_is_MW_prompt_in_EEG	1
1400.1601562500	n/a	response	n/a	358441.0000000000	4	16	eeg+txt	key_status_1	1382.5000	1400.1593750000	2	1	17.659375	aligned_by_order	1
1403.8398437500	n/a	response	n/a	359383.0000000000	2	16	eeg+txt	key_status_2	1386.1000	1403.7593750000	1	2	17.659375	aligned_by_order	1
1406.1593750000	n/a	response	n/a	n/a	1	16	eeg+txt	key_status_3	1388.5000	1406.1593750000	0	3	17.659375	txt_key0_present_in_eeg_rare	1
1505.2070312500	n/a	stimulus	n/a	385333.0000000000	128	17	eeg+txt	MW_question	1487.5000	1505.2070312500	n/a	n/a	17.707031	stimulus_value_128_is_MW_prompt_in_EEG	1
1508.4921875000	n/a	response	n/a	386174.0000000000	4	17	eeg+txt	key_status_1	1490.8000	1508.5070312500	2	1	17.707031	aligned_by_order	1
1510.7695312500	n/a	response	n/a	386757.0000000000	2	17	eeg+txt	key_status_2	1493.1000	1510.8070312500	1	2	17.707031	aligned_by_order	1
1512.9070312500	n/a	response	n/a	n/a	1	17	eeg+txt	key_status_3	1495.2000	1512.9070312500	0	3	17.707031	txt_key0_present_in_eeg_rare	1
1546.9687500000	n/a	stimulus	n/a	396024.0000000000	128	18	eeg+txt	MW_question	1529.3000	1546.9687500000	n/a	n/a	17.668750	stimulus_value_128_is_MW_prompt_in_EEG	1
1549.9687500000	n/a	response	n/a	396792.0000000000	8	18	eeg+txt	key_status_1	1532.3000	1549.9687500000	3	1	17.668750	aligned_by_order	1
1552.1687500000	n/a	response	n/a	n/a	1	18	eeg+txt	key_status_2	1534.5000	1552.1687500000	0	2	17.668750	txt_key0_present_in_eeg_rare	1
