onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
38.7304687500	n/a	stimulus	n/a	9915.0000000000	128	1	eeg+txt	MW_question	30.1000	38.7304687500	n/a	n/a	8.630469	stimulus_value_128_is_MW_prompt_in_EEG	1
43.1132812500	n/a	response	n/a	11037.0000000000	2	1	eeg+txt	key_status_1	34.4000	43.0304687500	1	1	8.630469	aligned_by_order	1
46.6640625000	n/a	response	n/a	11946.0000000000	2	1	eeg+txt	key_status_2	38.0000	46.6304687500	1	2	8.630469	aligned_by_order	1
50.3398437500	n/a	response	n/a	12887.0000000000	2	1	eeg+txt	key_status_3	41.6000	50.2304687500	1	3	8.630469	aligned_by_order	1
121.3437500000	n/a	stimulus	n/a	31064.0000000000	128	2	eeg+txt	MW_question	112.7000	121.3437500000	n/a	n/a	8.643750	stimulus_value_128_is_MW_prompt_in_EEG	1
124.6132812500	n/a	response	n/a	31901.0000000000	4	2	eeg+txt	key_status_1	115.9000	124.5437500000	2	1	8.643750	aligned_by_order	1
135.4570312500	n/a	response	n/a	34677.0000000000	2	2	eeg+txt	key_status_2	126.8000	135.4437500000	1	2	8.643750	aligned_by_order	1
137.9437500000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	129.3000	137.9437500000	0	3	8.643750	txt_key0_present_in_eeg_rare	1
153.0546875000	n/a	stimulus	n/a	39182.0000000000	128	3	eeg+txt	MW_question	144.4000	153.0546875000	n/a	n/a	8.654687	stimulus_value_128_is_MW_prompt_in_EEG	1
157.2265625000	n/a	response	n/a	40250.0000000000	4	3	eeg+txt	key_status_1	148.5000	157.1546875000	2	1	8.654687	aligned_by_order	1
160.3546875000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	151.7000	160.3546875000	0	2	8.654687	txt_key0_present_in_eeg_rare	1
162.7546875000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	154.1000	162.7546875000	0	3	8.654687	txt_key0_present_in_eeg_rare	1
263.8281250000	n/a	stimulus	n/a	67540.0000000000	128	4	eeg+txt	MW_question	255.1000	263.8281250000	n/a	n/a	8.728125	stimulus_value_128_is_MW_prompt_in_EEG	1
267.8789062500	n/a	response	n/a	68577.0000000000	4	4	eeg+txt	key_status_1	259.2000	267.9281250000	2	1	8.728125	aligned_by_order	1
270.8867187500	n/a	response	n/a	69347.0000000000	2	4	eeg+txt	key_status_2	262.2000	270.9281250000	1	2	8.728125	aligned_by_order	1
273.1281250000	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	264.4000	273.1281250000	0	3	8.728125	txt_key0_present_in_eeg_rare	1
326.0898437500	n/a	stimulus	n/a	83479.0000000000	128	5	eeg+txt	MW_question	317.4000	326.0898437500	n/a	n/a	8.689844	stimulus_value_128_is_MW_prompt_in_EEG	1
330.4726562500	n/a	response	n/a	84601.0000000000	8	5	eeg+txt	key_status_1	321.8000	330.4898437500	3	1	8.689844	aligned_by_order	1
333.8164062500	n/a	response	n/a	85457.0000000000	2	5	eeg+txt	key_status_2	325.1000	333.7898437500	1	2	8.689844	aligned_by_order	1
