onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
127.6132812500	n/a	stimulus	n/a	32669.0000000000	128	1	eeg+txt	MW_question	110.1000	127.6132812500	n/a	n/a	17.513281	stimulus_value_128_is_MW_prompt_in_EEG	1
134.0132812500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_1	114.3000	131.8132812500	0	1	17.513281	txt_key0_present_in_eeg_rare	1
134.0507812500	n/a	response	n/a	34317.0000000000	8	1	eeg+txt	key_status_2	116.5000	134.0132812500	3	2	17.513281	aligned_by_order	1
136.4132812500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	118.9000	136.4132812500	0	3	17.513281	txt_key0_present_in_eeg_rare	1
186.5195312500	n/a	stimulus	n/a	47749.0000000000	128	2	eeg+txt	MW_question	169.0000	186.5195312500	n/a	n/a	17.519531	stimulus_value_128_is_MW_prompt_in_EEG	1
192.0195312500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_1	171.8000	189.3195312500	0	1	17.519531	txt_key0_present_in_eeg_rare	1
192.0351562500	n/a	response	n/a	49161.0000000000	4	2	eeg+txt	key_status_2	174.5000	192.0195312500	2	2	17.519531	aligned_by_order	1
194.4195312500	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	176.9000	194.4195312500	0	3	17.519531	txt_key0_present_in_eeg_rare	1
278.5507812500	n/a	stimulus	n/a	71309.0000000000	128	3	eeg+txt	MW_question	261.0000	278.5507812500	n/a	n/a	17.550781	stimulus_value_128_is_MW_prompt_in_EEG	1
283.6507812500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_1	263.7000	281.2507812500	0	1	17.550781	txt_key0_present_in_eeg_rare	1
283.6796875000	n/a	response	n/a	72622.0000000000	4	3	eeg+txt	key_status_2	266.1000	283.6507812500	2	2	17.550781	aligned_by_order	1
