onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
126.4023437500	n/a	stimulus	n/a	32359.0000000000	128	n/a	eeg_orphan	unpaired_stimulus	n/a	n/a	n/a	n/a	n/a	no_matching_MW_line_in_txt_for_this_128_trigger	-1
291.8906250000	n/a	stimulus	n/a	74724.0000000000	128	1	eeg+txt	MW_question	277.5000	291.8906250000	n/a	n/a	14.390625	stimulus_value_128_is_MW_prompt_in_EEG	-1
295.1367187500	n/a	response	n/a	75555.0000000000	4	1	eeg+txt	key_status_1	280.8000	295.1906250000	2	1	14.390625	aligned_by_order	1
298.1953125000	n/a	response	n/a	76338.0000000000	2	1	eeg+txt	key_status_2	283.8000	298.1906250000	1	2	14.390625	aligned_by_order	1
300.5906250000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	286.2000	300.5906250000	0	3	14.390625	txt_key0_present_in_eeg_rare	1
331.5156250000	n/a	stimulus	n/a	84868.0000000000	128	2	eeg+txt	MW_question	317.2000	331.5156250000	n/a	n/a	14.315625	stimulus_value_128_is_MW_prompt_in_EEG	1
335.0781250000	n/a	response	n/a	85780.0000000000	2	2	eeg+txt	key_status_1	320.7000	335.0156250000	1	1	14.315625	aligned_by_order	1
337.2656250000	n/a	response	n/a	86340.0000000000	2	2	eeg+txt	key_status_2	322.9000	337.2156250000	1	2	14.315625	aligned_by_order	1
339.7156250000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	325.4000	339.7156250000	0	3	14.315625	txt_key0_present_in_eeg_rare	1
409.7929687500	n/a	stimulus	n/a	104907.0000000000	128	3	eeg+txt	MW_question	395.4000	409.7929687500	n/a	n/a	14.392969	stimulus_value_128_is_MW_prompt_in_EEG	1
412.4414062500	n/a	response	n/a	105585.0000000000	4	3	eeg+txt	key_status_1	398.0000	412.3929687500	2	1	14.392969	aligned_by_order	1
