onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
33.3867187500	n/a	stimulus	n/a	8547.0000000000	128	1	eeg+txt	MW_question	20.1000	33.3867187500	n/a	n/a	13.286719	stimulus_value_128_is_MW_prompt_in_EEG	1
38.2929687500	n/a	response	n/a	9803.0000000000	2	1	eeg+txt	key_status_1	25.0000	38.2867187500	1	1	13.286719	aligned_by_order	1
42.0664062500	n/a	response	n/a	10769.0000000000	8	1	eeg+txt	key_status_2	28.7000	41.9867187500	3	2	13.286719	aligned_by_order	1
44.7031250000	n/a	response	n/a	11444.0000000000	4	1	eeg+txt	key_status_3	31.4000	44.6867187500	2	3	13.286719	aligned_by_order	1
173.7148437500	n/a	stimulus	n/a	44471.0000000000	128	2	eeg+txt	MW_question	160.4000	173.7148437500	n/a	n/a	13.314844	stimulus_value_128_is_MW_prompt_in_EEG	1
178.5585937500	n/a	response	n/a	45711.0000000000	4	2	eeg+txt	key_status_1	165.2000	178.5148437500	2	1	13.314844	aligned_by_order	1
185.0976562500	n/a	response	n/a	47385.0000000000	8	2	eeg+txt	key_status_2	171.7000	185.0148437500	3	2	13.314844	aligned_by_order	1
187.3828125000	n/a	response	n/a	47970.0000000000	4	2	eeg+txt	key_status_3	174.0000	187.3148437500	2	3	13.314844	aligned_by_order	1
228.3750000000	n/a	stimulus	n/a	58464.0000000000	128	3	eeg+txt	MW_question	215.0000	228.3750000000	n/a	n/a	13.375000	stimulus_value_128_is_MW_prompt_in_EEG	1
231.8828125000	n/a	response	n/a	59362.0000000000	4	3	eeg+txt	key_status_1	218.5000	231.8750000000	2	1	13.375000	aligned_by_order	1
234.3125000000	n/a	response	n/a	59984.0000000000	4	3	eeg+txt	key_status_2	220.9000	234.2750000000	2	2	13.375000	aligned_by_order	1
236.7148437500	n/a	response	n/a	60599.0000000000	4	3	eeg+txt	key_status_3	223.3000	236.6750000000	2	3	13.375000	aligned_by_order	1
258.7187500000	n/a	stimulus	n/a	66232.0000000000	128	4	eeg+txt	MW_question	245.4000	258.7187500000	n/a	n/a	13.318750	stimulus_value_128_is_MW_prompt_in_EEG	1
261.4257812500	n/a	response	n/a	66925.0000000000	4	4	eeg+txt	key_status_1	248.1000	261.4187500000	2	1	13.318750	aligned_by_order	1
266.8242187500	n/a	response	n/a	68307.0000000000	4	4	eeg+txt	key_status_2	253.5000	266.8187500000	2	2	13.318750	aligned_by_order	1
269.2968750000	n/a	response	n/a	68940.0000000000	4	4	eeg+txt	key_status_3	256.0000	269.3187500000	2	3	13.318750	aligned_by_order	1
332.3007812500	n/a	stimulus	n/a	85069.0000000000	128	5	eeg+txt	MW_question	319.0000	332.3007812500	n/a	n/a	13.300781	stimulus_value_128_is_MW_prompt_in_EEG	1
335.2382812500	n/a	response	n/a	85821.0000000000	4	5	eeg+txt	key_status_1	321.9000	335.2007812500	2	1	13.300781	aligned_by_order	1
340.6406250000	n/a	response	n/a	87204.0000000000	2	5	eeg+txt	key_status_2	327.3000	340.6007812500	1	2	13.300781	aligned_by_order	1
342.9179687500	n/a	response	n/a	87787.0000000000	4	5	eeg+txt	key_status_3	329.5000	342.8007812500	2	3	13.300781	aligned_by_order	1
414.9257812500	n/a	stimulus	n/a	106221.0000000000	128	6	eeg+txt	MW_question	401.6000	414.9257812500	n/a	n/a	13.325781	stimulus_value_128_is_MW_prompt_in_EEG	1
419.1015625000	n/a	response	n/a	107290.0000000000	4	6	eeg+txt	key_status_1	405.7000	419.0257812500	2	1	13.325781	aligned_by_order	1
421.9843750000	n/a	response	n/a	108028.0000000000	2	6	eeg+txt	key_status_2	408.6000	421.9257812500	1	2	13.325781	aligned_by_order	1
424.9179687500	n/a	response	n/a	108779.0000000000	4	6	eeg+txt	key_status_3	411.5000	424.8257812500	2	3	13.325781	aligned_by_order	1
512.9140625000	n/a	stimulus	n/a	131306.0000000000	128	7	eeg+txt	MW_question	499.6000	512.9140625000	n/a	n/a	13.314062	stimulus_value_128_is_MW_prompt_in_EEG	1
515.6796875000	n/a	response	n/a	132014.0000000000	2	7	eeg+txt	key_status_1	502.3000	515.6140625000	1	1	13.314062	aligned_by_order	1
536.3281250000	n/a	response	n/a	137300.0000000000	8	7	eeg+txt	key_status_2	522.9000	536.2140625000	3	2	13.314062	aligned_by_order	1
541.0585937500	n/a	response	n/a	138511.0000000000	8	7	eeg+txt	key_status_3	527.7000	541.0140625000	3	3	13.314062	aligned_by_order	1
669.0703125000	n/a	stimulus	n/a	171282.0000000000	128	8	eeg+txt	MW_question	655.7000	669.0703125000	n/a	n/a	13.370312	stimulus_value_128_is_MW_prompt_in_EEG	1
676.9414062500	n/a	response	n/a	173297.0000000000	4	8	eeg+txt	key_status_1	663.5000	676.8703125000	2	1	13.370312	aligned_by_order	1
679.8789062500	n/a	response	n/a	174049.0000000000	4	8	eeg+txt	key_status_2	666.5000	679.8703125000	2	2	13.370312	aligned_by_order	1
683.8828125000	n/a	response	n/a	175074.0000000000	8	8	eeg+txt	key_status_3	670.5000	683.8703125000	3	3	13.370312	aligned_by_order	1
722.8867187500	n/a	stimulus	n/a	185059.0000000000	128	9	eeg+txt	MW_question	709.5000	722.8867187500	n/a	n/a	13.386719	stimulus_value_128_is_MW_prompt_in_EEG	1
726.3164062500	n/a	response	n/a	185937.0000000000	4	9	eeg+txt	key_status_1	712.9000	726.2867187500	2	1	13.386719	aligned_by_order	1
730.4726562500	n/a	response	n/a	187001.0000000000	2	9	eeg+txt	key_status_2	717.1000	730.4867187500	1	2	13.386719	aligned_by_order	1
734.6484375000	n/a	response	n/a	188070.0000000000	8	9	eeg+txt	key_status_3	721.2000	734.5867187500	3	3	13.386719	aligned_by_order	1
800.6523437500	n/a	stimulus	n/a	204967.0000000000	128	10	eeg+txt	MW_question	787.3000	800.6523437500	n/a	n/a	13.352344	stimulus_value_128_is_MW_prompt_in_EEG	1
806.6562500000	n/a	response	n/a	206504.0000000000	8	10	eeg+txt	key_status_1	793.2000	806.5523437500	3	1	13.352344	aligned_by_order	1
809.8789062500	n/a	response	n/a	207329.0000000000	4	10	eeg+txt	key_status_2	796.5000	809.8523437500	2	2	13.352344	aligned_by_order	1
813.3125000000	n/a	response	n/a	208208.0000000000	4	10	eeg+txt	key_status_3	799.9000	813.2523437500	2	3	13.352344	aligned_by_order	1
866.3164062500	n/a	stimulus	n/a	221777.0000000000	128	11	eeg+txt	MW_question	852.9000	866.3164062500	n/a	n/a	13.416406	stimulus_value_128_is_MW_prompt_in_EEG	1
870.1718750000	n/a	response	n/a	222764.0000000000	2	11	eeg+txt	key_status_1	856.8000	870.2164062500	1	1	13.416406	aligned_by_order	1
873.4960937500	n/a	response	n/a	223615.0000000000	4	11	eeg+txt	key_status_2	860.1000	873.5164062500	2	2	13.416406	aligned_by_order	1
876.5625000000	n/a	response	n/a	224400.0000000000	4	11	eeg+txt	key_status_3	863.2000	876.6164062500	2	3	13.416406	aligned_by_order	1
1035.5429687500	n/a	stimulus	n/a	265099.0000000000	128	12	eeg+txt	MW_question	1022.2000	1035.5429687500	n/a	n/a	13.342969	stimulus_value_128_is_MW_prompt_in_EEG	1
1040.8007812500	n/a	response	n/a	266445.0000000000	4	12	eeg+txt	key_status_1	1027.4000	1040.7429687500	2	1	13.342969	aligned_by_order	1
1044.2382812500	n/a	response	n/a	267325.0000000000	8	12	eeg+txt	key_status_2	1030.8000	1044.1429687500	3	2	13.342969	aligned_by_order	1
1046.4453125000	n/a	response	n/a	267890.0000000000	4	12	eeg+txt	key_status_3	1033.0000	1046.3429687500	2	3	13.342969	aligned_by_order	1
1100.4492187500	n/a	stimulus	n/a	281715.0000000000	128	13	eeg+txt	MW_question	1087.1000	1100.4492187500	n/a	n/a	13.349219	stimulus_value_128_is_MW_prompt_in_EEG	1
1105.6289062500	n/a	response	n/a	283041.0000000000	4	13	eeg+txt	key_status_1	1092.2000	1105.5492187500	2	1	13.349219	aligned_by_order	1
1109.3320312500	n/a	response	n/a	283989.0000000000	4	13	eeg+txt	key_status_2	1095.9000	1109.2492187500	2	2	13.349219	aligned_by_order	1
1126.0078125000	n/a	response	n/a	288258.0000000000	4	13	eeg+txt	key_status_3	1112.6000	1125.9492187500	2	3	13.349219	aligned_by_order	1
1178.0117187500	n/a	stimulus	n/a	301571.0000000000	128	14	eeg+txt	MW_question	1164.6000	1178.0117187500	n/a	n/a	13.411719	stimulus_value_128_is_MW_prompt_in_EEG	1
1184.2343750000	n/a	response	n/a	303164.0000000000	4	14	eeg+txt	key_status_1	1170.8000	1184.2117187500	2	1	13.411719	aligned_by_order	1
1188.6210937500	n/a	response	n/a	304287.0000000000	4	14	eeg+txt	key_status_2	1175.2000	1188.6117187500	2	2	13.411719	aligned_by_order	1
