onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
46.0000000000	n/a	stimulus	n/a	11776.0000000000	128	1	eeg+txt	MW_question	18.1000	46.0000000000	n/a	n/a	27.900000	stimulus_value_128_is_MW_prompt_in_EEG	1
50.9000000000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_1	20.9000	48.8000000000	0	1	27.900000	txt_key0_present_in_eeg_rare	1
50.9687500000	n/a	response	n/a	13048.0000000000	2	1	eeg+txt	key_status_2	23.0000	50.9000000000	1	2	27.900000	aligned_by_order	1
53.1000000000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	25.2000	53.1000000000	0	3	27.900000	txt_key0_present_in_eeg_rare	1
183.1953125000	n/a	stimulus	n/a	46898.0000000000	128	2	eeg+txt	MW_question	155.3000	183.1953125000	n/a	n/a	27.895312	stimulus_value_128_is_MW_prompt_in_EEG	1
200.4648437500	n/a	response	n/a	51319.0000000000	2	2	eeg+txt	key_status_1	172.5000	200.3953125000	1	1	27.895312	aligned_by_order	1
279.1953125000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_2	190.5000	218.3953125000	0	2	27.895312	txt_key0_present_in_eeg_rare	1
279.2890625000	n/a	response	n/a	71498.0000000000	8	2	eeg+txt	key_status_3	251.3000	279.1953125000	3	3	27.895312	aligned_by_order	1
347.2812500000	n/a	stimulus	n/a	88904.0000000000	128	3	eeg+txt	MW_question	319.3000	347.2812500000	n/a	n/a	27.981250	stimulus_value_128_is_MW_prompt_in_EEG	1
349.9531250000	n/a	response	n/a	89588.0000000000	2	3	eeg+txt	key_status_1	321.9000	349.8812500000	1	1	27.981250	aligned_by_order	1
352.2656250000	n/a	response	n/a	90180.0000000000	2	3	eeg+txt	key_status_2	324.3000	352.2812500000	1	2	27.981250	aligned_by_order	1
356.2812500000	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	328.3000	356.2812500000	0	3	27.981250	txt_key0_present_in_eeg_rare	1
426.2773437500	n/a	stimulus	n/a	109127.0000000000	128	4	eeg+txt	MW_question	398.3000	426.2773437500	n/a	n/a	27.977344	stimulus_value_128_is_MW_prompt_in_EEG	1
429.2968750000	n/a	response	n/a	109900.0000000000	4	4	eeg+txt	key_status_1	401.3000	429.2773437500	2	1	27.977344	aligned_by_order	1
431.9101562500	n/a	response	n/a	110569.0000000000	2	4	eeg+txt	key_status_2	403.9000	431.8773437500	1	2	27.977344	aligned_by_order	1
434.6773437500	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	406.7000	434.6773437500	0	3	27.977344	txt_key0_present_in_eeg_rare	1
455.6718750000	n/a	stimulus	n/a	116652.0000000000	128	5	eeg+txt	MW_question	427.7000	455.6718750000	n/a	n/a	27.971875	stimulus_value_128_is_MW_prompt_in_EEG	1
458.3203125000	n/a	response	n/a	117330.0000000000	2	5	eeg+txt	key_status_1	430.3000	458.2718750000	1	1	27.971875	aligned_by_order	1
461.0546875000	n/a	response	n/a	118030.0000000000	2	5	eeg+txt	key_status_2	433.1000	461.0718750000	1	2	27.971875	aligned_by_order	1
463.5718750000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	435.6000	463.5718750000	0	3	27.971875	txt_key0_present_in_eeg_rare	1
519.5742187500	n/a	stimulus	n/a	133011.0000000000	128	6	eeg+txt	MW_question	491.6000	519.5742187500	n/a	n/a	27.974219	stimulus_value_128_is_MW_prompt_in_EEG	1
522.6914062500	n/a	response	n/a	133809.0000000000	4	6	eeg+txt	key_status_1	494.7000	522.6742187500	2	1	27.974219	aligned_by_order	1
