onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
147.0351562500	n/a	stimulus	n/a	37641.0000000000	128	1	eeg+txt	MW_question	137.1000	147.0351562500	n/a	n/a	9.935156	stimulus_value_128_is_MW_prompt_in_EEG	1
151.2226562500	n/a	response	n/a	38713.0000000000	4	1	eeg+txt	key_status_1	141.2000	151.1351562500	2	1	9.935156	aligned_by_order	1
155.5117187500	n/a	response	n/a	39811.0000000000	2	1	eeg+txt	key_status_2	145.5000	155.4351562500	1	2	9.935156	aligned_by_order	1
158.4351562500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	148.5000	158.4351562500	0	3	9.935156	txt_key0_present_in_eeg_rare	1
268.4921875000	n/a	stimulus	n/a	68734.0000000000	128	2	eeg+txt	MW_question	258.5000	268.4921875000	n/a	n/a	9.992188	stimulus_value_128_is_MW_prompt_in_EEG	1
272.1640625000	n/a	response	n/a	69674.0000000000	4	2	eeg+txt	key_status_1	262.2000	272.1921875000	2	1	9.992188	aligned_by_order	1
276.4843750000	n/a	response	n/a	70780.0000000000	2	2	eeg+txt	key_status_2	266.5000	276.4921875000	1	2	9.992188	aligned_by_order	1
278.9921875000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	269.0000	278.9921875000	0	3	9.992188	txt_key0_present_in_eeg_rare	1
424.0078125000	n/a	stimulus	n/a	108546.0000000000	128	3	eeg+txt	MW_question	414.0000	424.0078125000	n/a	n/a	10.007812	stimulus_value_128_is_MW_prompt_in_EEG	1
428.3828125000	n/a	response	n/a	109666.0000000000	2	3	eeg+txt	key_status_1	418.3000	428.3078125000	1	1	10.007812	aligned_by_order	1
435.4687500000	n/a	response	n/a	111480.0000000000	4	3	eeg+txt	key_status_2	425.5000	435.5078125000	2	2	10.007812	aligned_by_order	1
439.0703125000	n/a	response	n/a	112402.0000000000	2	3	eeg+txt	key_status_3	429.0000	439.0078125000	1	3	10.007812	aligned_by_order	1
488.0625000000	n/a	stimulus	n/a	124944.0000000000	128	4	eeg+txt	MW_question	478.1000	488.0625000000	n/a	n/a	9.962500	stimulus_value_128_is_MW_prompt_in_EEG	1
492.7851562500	n/a	response	n/a	126153.0000000000	2	4	eeg+txt	key_status_1	482.8000	492.7625000000	1	1	9.962500	aligned_by_order	1
496.4414062500	n/a	response	n/a	127089.0000000000	4	4	eeg+txt	key_status_2	486.4000	496.3625000000	2	2	9.962500	aligned_by_order	1
500.9140625000	n/a	response	n/a	128234.0000000000	2	4	eeg+txt	key_status_3	490.9000	500.8625000000	1	3	9.962500	aligned_by_order	1
536.9179687500	n/a	stimulus	n/a	137451.0000000000	128	5	eeg+txt	MW_question	526.9000	536.9179687500	n/a	n/a	10.017969	stimulus_value_128_is_MW_prompt_in_EEG	1
545.7539062500	n/a	response	n/a	139713.0000000000	1	5	eeg+txt	key_status_1	530.6000	540.6179687500	0	1	10.017969	txt_key0_present_in_eeg_rare	1
548.8179687500	n/a	response	n/a	n/a	4	5	eeg+txt	key_status_2	535.7000	545.7179687500	2	2	10.017969	aligned_by_order	1
548.8789062500	n/a	response	n/a	140513.0000000000	4	5	eeg+txt	key_status_3	538.8000	548.8179687500	2	3	10.017969	aligned_by_order	1
672.8867187500	n/a	stimulus	n/a	172259.0000000000	128	6	eeg+txt	MW_question	662.9000	672.8867187500	n/a	n/a	9.986719	stimulus_value_128_is_MW_prompt_in_EEG	1
677.3085937500	n/a	response	n/a	173391.0000000000	4	6	eeg+txt	key_status_1	667.3000	677.2867187500	2	1	9.986719	aligned_by_order	1
