onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
71.2695312500	n/a	stimulus	n/a	18245.0000000000	128	1	eeg+txt	MW_question	59.1000	71.2695312500	n/a	n/a	12.169531	stimulus_value_128_is_MW_prompt_in_EEG	1
74.5312500000	n/a	response	n/a	19080.0000000000	2	1	eeg+txt	key_status_1	62.3000	74.4695312500	1	1	12.169531	aligned_by_order	1
77.9101562500	n/a	response	n/a	19945.0000000000	8	1	eeg+txt	key_status_2	65.7000	77.8695312500	3	2	12.169531	aligned_by_order	1
80.0695312500	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	67.9000	80.0695312500	0	3	12.169531	txt_key0_present_in_eeg_rare	1
242.1250000000	n/a	stimulus	n/a	61984.0000000000	128	2	eeg+txt	MW_question	229.9000	242.1250000000	n/a	n/a	12.225000	stimulus_value_128_is_MW_prompt_in_EEG	1
245.5742187500	n/a	response	n/a	62867.0000000000	2	2	eeg+txt	key_status_1	233.4000	245.6250000000	1	1	12.225000	aligned_by_order	1
248.0312500000	n/a	response	n/a	63496.0000000000	2	2	eeg+txt	key_status_2	235.8000	248.0250000000	1	2	12.225000	aligned_by_order	1
250.6250000000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	238.4000	250.6250000000	0	3	12.225000	txt_key0_present_in_eeg_rare	1
281.5742187500	n/a	stimulus	n/a	72083.0000000000	128	3	eeg+txt	MW_question	269.4000	281.5742187500	n/a	n/a	12.174219	stimulus_value_128_is_MW_prompt_in_EEG	1
284.9062500000	n/a	response	n/a	72936.0000000000	2	3	eeg+txt	key_status_1	272.7000	284.8742187500	1	1	12.174219	aligned_by_order	1
287.4101562500	n/a	response	n/a	73577.0000000000	2	3	eeg+txt	key_status_2	275.2000	287.3742187500	1	2	12.174219	aligned_by_order	1
289.7742187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	277.6000	289.7742187500	0	3	12.174219	txt_key0_present_in_eeg_rare	1
343.8984375000	n/a	stimulus	n/a	88038.0000000000	128	4	eeg+txt	MW_question	331.7000	343.8984375000	n/a	n/a	12.198438	stimulus_value_128_is_MW_prompt_in_EEG	1
347.1835937500	n/a	response	n/a	88879.0000000000	2	4	eeg+txt	key_status_1	334.9000	347.0984375000	1	1	12.198438	aligned_by_order	1
349.7382812500	n/a	response	n/a	89533.0000000000	2	4	eeg+txt	key_status_2	337.5000	349.6984375000	1	2	12.198438	aligned_by_order	1
352.0984375000	n/a	response	n/a	n/a	1	4	eeg+txt	key_status_3	339.9000	352.0984375000	0	3	12.198438	txt_key0_present_in_eeg_rare	1
414.1250000000	n/a	stimulus	n/a	106016.0000000000	128	5	eeg+txt	MW_question	401.9000	414.1250000000	n/a	n/a	12.225000	stimulus_value_128_is_MW_prompt_in_EEG	1
417.9257812500	n/a	response	n/a	106989.0000000000	2	5	eeg+txt	key_status_1	405.7000	417.9250000000	1	1	12.225000	aligned_by_order	1
420.2187500000	n/a	response	n/a	107576.0000000000	4	5	eeg+txt	key_status_2	408.0000	420.2250000000	2	2	12.225000	aligned_by_order	1
447.2250000000	n/a	response	n/a	n/a	1	5	eeg+txt	key_status_3	435.0000	447.2250000000	0	3	12.225000	txt_key0_present_in_eeg_rare	1
476.2656250000	n/a	stimulus	n/a	121924.0000000000	128	6	eeg+txt	MW_question	464.0000	476.2656250000	n/a	n/a	12.265625	stimulus_value_128_is_MW_prompt_in_EEG	1
481.7187500000	n/a	response	n/a	123320.0000000000	1	6	eeg+txt	key_status_1	466.7000	478.9656250000	0	1	12.265625	txt_key0_present_in_eeg_rare	1
481.7656250000	n/a	response	n/a	n/a	8	6	eeg+txt	key_status_2	469.5000	481.7656250000	3	2	12.265625	aligned_by_order	1
483.9656250000	n/a	response	n/a	n/a	1	6	eeg+txt	key_status_3	471.7000	483.9656250000	0	3	12.265625	txt_key0_present_in_eeg_rare	1
603.9531250000	n/a	stimulus	n/a	154612.0000000000	128	7	eeg+txt	MW_question	591.7000	603.9531250000	n/a	n/a	12.253125	stimulus_value_128_is_MW_prompt_in_EEG	1
607.0742187500	n/a	response	n/a	155411.0000000000	2	7	eeg+txt	key_status_1	594.8000	607.0531250000	1	1	12.253125	aligned_by_order	1
609.3828125000	n/a	response	n/a	156002.0000000000	2	7	eeg+txt	key_status_2	597.1000	609.3531250000	1	2	12.253125	aligned_by_order	1
611.8531250000	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_3	599.6000	611.8531250000	0	3	12.253125	txt_key0_present_in_eeg_rare	1
674.8125000000	n/a	stimulus	n/a	172752.0000000000	128	8	eeg+txt	MW_question	662.6000	674.8125000000	n/a	n/a	12.212500	stimulus_value_128_is_MW_prompt_in_EEG	1
677.7148437500	n/a	response	n/a	173495.0000000000	2	8	eeg+txt	key_status_1	665.4000	677.6125000000	1	1	12.212500	aligned_by_order	1
680.0039062500	n/a	response	n/a	174081.0000000000	2	8	eeg+txt	key_status_2	667.7000	679.9125000000	1	2	12.212500	aligned_by_order	1
682.5125000000	n/a	response	n/a	n/a	1	8	eeg+txt	key_status_3	670.3000	682.5125000000	0	3	12.212500	txt_key0_present_in_eeg_rare	1
820.5703125000	n/a	stimulus	n/a	210066.0000000000	128	9	eeg+txt	MW_question	808.3000	820.5703125000	n/a	n/a	12.270313	stimulus_value_128_is_MW_prompt_in_EEG	1
823.5390625000	n/a	response	n/a	210826.0000000000	4	9	eeg+txt	key_status_1	811.2000	823.4703125000	2	1	12.270313	aligned_by_order	1
825.6914062500	n/a	response	n/a	211377.0000000000	2	9	eeg+txt	key_status_2	813.4000	825.6703125000	1	2	12.270313	aligned_by_order	1
827.8703125000	n/a	response	n/a	n/a	1	9	eeg+txt	key_status_3	815.6000	827.8703125000	0	3	12.270313	txt_key0_present_in_eeg_rare	1
891.9062500000	n/a	stimulus	n/a	228328.0000000000	128	10	eeg+txt	MW_question	879.6000	891.9062500000	n/a	n/a	12.306250	stimulus_value_128_is_MW_prompt_in_EEG	1
894.5742187500	n/a	response	n/a	229011.0000000000	4	10	eeg+txt	key_status_1	882.3000	894.6062500000	2	1	12.306250	aligned_by_order	1
897.1757812500	n/a	response	n/a	229677.0000000000	2	10	eeg+txt	key_status_2	884.9000	897.2062500000	1	2	12.306250	aligned_by_order	1
899.4062500000	n/a	response	n/a	n/a	1	10	eeg+txt	key_status_3	887.1000	899.4062500000	0	3	12.306250	txt_key0_present_in_eeg_rare	1
978.3671875000	n/a	stimulus	n/a	250462.0000000000	128	11	eeg+txt	MW_question	966.1000	978.3671875000	n/a	n/a	12.267187	stimulus_value_128_is_MW_prompt_in_EEG	1
981.9218750000	n/a	response	n/a	251372.0000000000	4	11	eeg+txt	key_status_1	969.7000	981.9671875000	2	1	12.267187	aligned_by_order	1
984.2187500000	n/a	response	n/a	251960.0000000000	2	11	eeg+txt	key_status_2	971.9000	984.1671875000	1	2	12.267187	aligned_by_order	1
987.3671875000	n/a	response	n/a	n/a	1	11	eeg+txt	key_status_3	975.1000	987.3671875000	0	3	12.267187	txt_key0_present_in_eeg_rare	1
1044.3828125000	n/a	stimulus	n/a	267362.0000000000	128	12	eeg+txt	MW_question	1032.1000	1044.3828125000	n/a	n/a	12.282813	stimulus_value_128_is_MW_prompt_in_EEG	1
1047.5429687500	n/a	response	n/a	268171.0000000000	2	12	eeg+txt	key_status_1	1035.3000	1047.5828125000	1	1	12.282813	aligned_by_order	1
1049.7617187500	n/a	response	n/a	268739.0000000000	4	12	eeg+txt	key_status_2	1037.4000	1049.6828125000	2	2	12.282813	aligned_by_order	1
1052.0828125000	n/a	response	n/a	n/a	1	12	eeg+txt	key_status_3	1039.8000	1052.0828125000	0	3	12.282813	txt_key0_present_in_eeg_rare	1
1198.1054687500	n/a	stimulus	n/a	306715.0000000000	128	13	eeg+txt	MW_question	1185.8000	1198.1054687500	n/a	n/a	12.305469	stimulus_value_128_is_MW_prompt_in_EEG	1
1201.2851562500	n/a	response	n/a	307529.0000000000	2	13	eeg+txt	key_status_1	1189.0000	1201.3054687500	1	1	12.305469	aligned_by_order	1
1203.7109375000	n/a	response	n/a	308150.0000000000	2	13	eeg+txt	key_status_2	1191.4000	1203.7054687500	1	2	12.305469	aligned_by_order	1
1205.9054687500	n/a	response	n/a	n/a	1	13	eeg+txt	key_status_3	1193.6000	1205.9054687500	0	3	12.305469	txt_key0_present_in_eeg_rare	1
1364.9843750000	n/a	stimulus	n/a	349436.0000000000	128	14	eeg+txt	MW_question	1352.7000	1364.9843750000	n/a	n/a	12.284375	stimulus_value_128_is_MW_prompt_in_EEG	1
1369.8320312500	n/a	response	n/a	350677.0000000000	4	14	eeg+txt	key_status_1	1357.5000	1369.7843750000	2	1	12.284375	aligned_by_order	1
1372.3515625000	n/a	response	n/a	351322.0000000000	2	14	eeg+txt	key_status_2	1360.0000	1372.2843750000	1	2	12.284375	aligned_by_order	1
1375.0843750000	n/a	response	n/a	n/a	1	14	eeg+txt	key_status_3	1362.8000	1375.0843750000	0	3	12.284375	txt_key0_present_in_eeg_rare	1
1491.1250000000	n/a	stimulus	n/a	381728.0000000000	128	15	eeg+txt	MW_question	1478.8000	1491.1250000000	n/a	n/a	12.325000	stimulus_value_128_is_MW_prompt_in_EEG	1
1499.1250000000	n/a	response	n/a	n/a	1	15	eeg+txt	key_status_1	1484.7000	1497.0250000000	0	1	12.325000	txt_key0_present_in_eeg_rare	1
1499.1445312500	n/a	response	n/a	383781.0000000000	8	15	eeg+txt	key_status_2	1486.8000	1499.1250000000	3	2	12.325000	aligned_by_order	1
1517.1250000000	n/a	response	n/a	n/a	1	15	eeg+txt	key_status_3	1504.8000	1517.1250000000	0	3	12.325000	txt_key0_present_in_eeg_rare	1
1566.1523437500	n/a	stimulus	n/a	400935.0000000000	128	16	eeg+txt	MW_question	1553.8000	1566.1523437500	n/a	n/a	12.352344	stimulus_value_128_is_MW_prompt_in_EEG	1
1569.7187500000	n/a	response	n/a	401848.0000000000	2	16	eeg+txt	key_status_1	1557.4000	1569.7523437500	1	1	12.352344	aligned_by_order	1
1572.4843750000	n/a	response	n/a	402556.0000000000	2	16	eeg+txt	key_status_2	1560.1000	1572.4523437500	1	2	12.352344	aligned_by_order	1
1575.3906250000	n/a	response	n/a	403300.0000000000	2	16	eeg+txt	key_status_3	1563.1000	1575.4523437500	1	3	12.352344	aligned_by_order	1
1707.3906250000	n/a	stimulus	n/a	437092.0000000000	128	17	eeg+txt	MW_question	1695.1000	1707.3906250000	n/a	n/a	12.290625	stimulus_value_128_is_MW_prompt_in_EEG	1
1710.2617187500	n/a	response	n/a	437827.0000000000	2	17	eeg+txt	key_status_1	1697.9000	1710.1906250000	1	1	12.290625	aligned_by_order	1
1712.7656250000	n/a	response	n/a	438468.0000000000	2	17	eeg+txt	key_status_2	1700.4000	1712.6906250000	1	2	12.290625	aligned_by_order	1
1714.9906250000	n/a	response	n/a	n/a	1	17	eeg+txt	key_status_3	1702.7000	1714.9906250000	0	3	12.290625	txt_key0_present_in_eeg_rare	1
1788.0781250000	n/a	stimulus	n/a	457748.0000000000	128	18	eeg+txt	MW_question	1775.8000	1788.0781250000	n/a	n/a	12.278125	stimulus_value_128_is_MW_prompt_in_EEG	1
1792.8781250000	n/a	response	n/a	n/a	1	18	eeg+txt	key_status_1	1778.4000	1790.6781250000	0	1	12.278125	txt_key0_present_in_eeg_rare	1
1792.9140625000	n/a	response	n/a	458986.0000000000	8	18	eeg+txt	key_status_2	1780.6000	1792.8781250000	3	2	12.278125	aligned_by_order	1
1795.0781250000	n/a	response	n/a	n/a	1	18	eeg+txt	key_status_3	1782.8000	1795.0781250000	0	3	12.278125	txt_key0_present_in_eeg_rare	1
1874.1367187500	n/a	stimulus	n/a	479779.0000000000	128	19	eeg+txt	MW_question	1861.8000	1874.1367187500	n/a	n/a	12.336719	stimulus_value_128_is_MW_prompt_in_EEG	1
1879.2367187500	n/a	response	n/a	n/a	1	19	eeg+txt	key_status_1	1864.4000	1876.7367187500	0	1	12.336719	txt_key0_present_in_eeg_rare	1
1879.2929687500	n/a	response	n/a	481099.0000000000	4	19	eeg+txt	key_status_2	1866.9000	1879.2367187500	2	2	12.336719	aligned_by_order	1
1882.7367187500	n/a	response	n/a	n/a	1	19	eeg+txt	key_status_3	1870.4000	1882.7367187500	0	3	12.336719	txt_key0_present_in_eeg_rare	1
2015.7539062500	n/a	stimulus	n/a	516033.0000000000	128	20	eeg+txt	MW_question	2003.4000	2015.7539062500	n/a	n/a	12.353906	stimulus_value_128_is_MW_prompt_in_EEG	1
2020.8515625000	n/a	response	n/a	517338.0000000000	1	20	eeg+txt	key_status_1	2006.1000	2018.4539062500	0	1	12.353906	txt_key0_present_in_eeg_rare	1
2023.7539062500	n/a	response	n/a	n/a	8	20	eeg+txt	key_status_2	2008.5000	2020.8539062500	3	2	12.353906	aligned_by_order	1
2023.7656250000	n/a	response	n/a	518084.0000000000	2	20	eeg+txt	key_status_3	2011.4000	2023.7539062500	1	3	12.353906	aligned_by_order	1
2146.7734375000	n/a	stimulus	n/a	549574.0000000000	128	21	eeg+txt	MW_question	2134.4000	2146.7734375000	n/a	n/a	12.373437	stimulus_value_128_is_MW_prompt_in_EEG	1
2151.7382812500	n/a	response	n/a	550845.0000000000	1	21	eeg+txt	key_status_1	2137.1000	2149.4734375000	0	1	12.373437	txt_key0_present_in_eeg_rare	1
2151.7734375000	n/a	response	n/a	n/a	4	21	eeg+txt	key_status_2	2139.4000	2151.7734375000	2	2	12.373437	aligned_by_order	1
2154.7734375000	n/a	response	n/a	n/a	1	21	eeg+txt	key_status_3	2142.4000	2154.7734375000	0	3	12.373437	txt_key0_present_in_eeg_rare	1
2260.7773437500	n/a	stimulus	n/a	578759.0000000000	128	22	eeg+txt	MW_question	2248.4000	2260.7773437500	n/a	n/a	12.377344	stimulus_value_128_is_MW_prompt_in_EEG	1
2265.7773437500	n/a	response	n/a	n/a	1	22	eeg+txt	key_status_1	2251.0000	2263.3773437500	0	1	12.377344	txt_key0_present_in_eeg_rare	1
2265.7968750000	n/a	response	n/a	580044.0000000000	8	22	eeg+txt	key_status_2	2253.4000	2265.7773437500	3	2	12.377344	aligned_by_order	1
2267.9773437500	n/a	response	n/a	n/a	1	22	eeg+txt	key_status_3	2255.6000	2267.9773437500	0	3	12.377344	txt_key0_present_in_eeg_rare	1
2421.0351562500	n/a	stimulus	n/a	619785.0000000000	128	23	eeg+txt	MW_question	2408.7000	2421.0351562500	n/a	n/a	12.335156	stimulus_value_128_is_MW_prompt_in_EEG	1
2424.1054687500	n/a	response	n/a	620571.0000000000	2	23	eeg+txt	key_status_1	2411.7000	2424.0351562500	1	1	12.335156	aligned_by_order	1
2426.4960937500	n/a	response	n/a	621183.0000000000	2	23	eeg+txt	key_status_2	2414.1000	2426.4351562500	1	2	12.335156	aligned_by_order	1
2429.0351562500	n/a	response	n/a	n/a	1	23	eeg+txt	key_status_3	2416.7000	2429.0351562500	0	3	12.335156	txt_key0_present_in_eeg_rare	1
2487.0703125000	n/a	stimulus	n/a	636690.0000000000	128	24	eeg+txt	MW_question	2474.7000	2487.0703125000	n/a	n/a	12.370313	stimulus_value_128_is_MW_prompt_in_EEG	1
2490.8750000000	n/a	response	n/a	637664.0000000000	2	24	eeg+txt	key_status_1	2478.5000	2490.8703125000	1	1	12.370313	aligned_by_order	1
2493.5585937500	n/a	response	n/a	638351.0000000000	2	24	eeg+txt	key_status_2	2481.2000	2493.5703125000	1	2	12.370313	aligned_by_order	1
2495.7703125000	n/a	response	n/a	n/a	1	24	eeg+txt	key_status_3	2483.4000	2495.7703125000	0	3	12.370313	txt_key0_present_in_eeg_rare	1
2592.7773437500	n/a	stimulus	n/a	663751.0000000000	128	25	eeg+txt	MW_question	2580.4000	2592.7773437500	n/a	n/a	12.377344	stimulus_value_128_is_MW_prompt_in_EEG	1
2596.0625000000	n/a	response	n/a	664592.0000000000	4	25	eeg+txt	key_status_1	2583.7000	2596.0773437500	2	1	12.377344	aligned_by_order	1
2598.8203125000	n/a	response	n/a	665298.0000000000	2	25	eeg+txt	key_status_2	2586.4000	2598.7773437500	1	2	12.377344	aligned_by_order	1
2601.0773437500	n/a	response	n/a	n/a	1	25	eeg+txt	key_status_3	2588.7000	2601.0773437500	0	3	12.377344	txt_key0_present_in_eeg_rare	1
