onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
31.9960937500	n/a	stimulus	n/a	8191.0000000000	128	1	eeg+txt	MW_question	20.1000	31.9960937500	n/a	n/a	11.896094	stimulus_value_128_is_MW_prompt_in_EEG	1
35.3007812500	n/a	response	n/a	9037.0000000000	4	1	eeg+txt	key_status_1	23.4000	35.2960937500	2	1	11.896094	aligned_by_order	1
38.2812500000	n/a	response	n/a	9800.0000000000	2	1	eeg+txt	key_status_2	26.3000	38.1960937500	1	2	11.896094	aligned_by_order	1
40.6367187500	n/a	response	n/a	10403.0000000000	2	1	eeg+txt	key_status_3	28.7000	40.5960937500	1	3	11.896094	aligned_by_order	1
169.6210937500	n/a	stimulus	n/a	43423.0000000000	128	2	eeg+txt	MW_question	157.7000	169.6210937500	n/a	n/a	11.921094	stimulus_value_128_is_MW_prompt_in_EEG	1
172.4921875000	n/a	response	n/a	44158.0000000000	4	2	eeg+txt	key_status_1	160.5000	172.4210937500	2	1	11.921094	aligned_by_order	1
174.8515625000	n/a	response	n/a	44762.0000000000	2	2	eeg+txt	key_status_2	162.9000	174.8210937500	1	2	11.921094	aligned_by_order	1
185.1796875000	n/a	response	n/a	47406.0000000000	2	2	eeg+txt	key_status_3	173.2000	185.1210937500	1	3	11.921094	aligned_by_order	1
226.1835937500	n/a	stimulus	n/a	57903.0000000000	128	3	eeg+txt	MW_question	214.2000	226.1835937500	n/a	n/a	11.983594	stimulus_value_128_is_MW_prompt_in_EEG	1
232.0937500000	n/a	response	n/a	59416.0000000000	2	3	eeg+txt	key_status_1	220.1000	232.0835937500	1	1	11.983594	aligned_by_order	1
235.6992187500	n/a	response	n/a	60339.0000000000	4	3	eeg+txt	key_status_2	223.7000	235.6835937500	2	2	11.983594	aligned_by_order	1
237.9101562500	n/a	response	n/a	60905.0000000000	2	3	eeg+txt	key_status_3	225.9000	237.8835937500	1	3	11.983594	aligned_by_order	1
259.8906250000	n/a	stimulus	n/a	66532.0000000000	128	4	eeg+txt	MW_question	248.0000	259.8906250000	n/a	n/a	11.890625	stimulus_value_128_is_MW_prompt_in_EEG	1
262.5585937500	n/a	response	n/a	67215.0000000000	4	4	eeg+txt	key_status_1	250.6000	262.4906250000	2	1	11.890625	aligned_by_order	1
264.6640625000	n/a	response	n/a	67754.0000000000	2	4	eeg+txt	key_status_2	252.7000	264.5906250000	1	2	11.890625	aligned_by_order	1
266.9218750000	n/a	response	n/a	68332.0000000000	2	4	eeg+txt	key_status_3	255.0000	266.8906250000	1	3	11.890625	aligned_by_order	1
329.9257812500	n/a	stimulus	n/a	84461.0000000000	128	5	eeg+txt	MW_question	318.0000	329.9257812500	n/a	n/a	11.925781	stimulus_value_128_is_MW_prompt_in_EEG	1
333.0781250000	n/a	response	n/a	85268.0000000000	4	5	eeg+txt	key_status_1	321.1000	333.0257812500	2	1	11.925781	aligned_by_order	1
336.2617187500	n/a	response	n/a	86083.0000000000	4	5	eeg+txt	key_status_2	324.3000	336.2257812500	2	2	11.925781	aligned_by_order	1
