onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
154.0429687500	n/a	stimulus	n/a	39435.0000000000	128	1	eeg+txt	MW_question	138.4000	154.0429687500	n/a	n/a	15.642969	stimulus_value_128_is_MW_prompt_in_EEG	1
156.9335937500	n/a	response	n/a	40175.0000000000	4	1	eeg+txt	key_status_1	141.2000	156.8429687500	2	1	15.642969	aligned_by_order	1
160.5156250000	n/a	response	n/a	41092.0000000000	4	1	eeg+txt	key_status_2	144.8000	160.4429687500	2	2	15.642969	aligned_by_order	1
163.4843750000	n/a	response	n/a	41852.0000000000	2	1	eeg+txt	key_status_3	147.8000	163.4429687500	1	3	15.642969	aligned_by_order	1
273.4921875000	n/a	stimulus	n/a	70014.0000000000	128	2	eeg+txt	MW_question	257.8000	273.4921875000	n/a	n/a	15.692187	stimulus_value_128_is_MW_prompt_in_EEG	1
276.7617187500	n/a	response	n/a	70851.0000000000	2	2	eeg+txt	key_status_1	261.1000	276.7921875000	1	1	15.692187	aligned_by_order	1
279.5937500000	n/a	response	n/a	71576.0000000000	4	2	eeg+txt	key_status_2	263.9000	279.5921875000	2	2	15.692187	aligned_by_order	1
281.9375000000	n/a	response	n/a	72176.0000000000	2	2	eeg+txt	key_status_3	266.2000	281.8921875000	1	3	15.692187	aligned_by_order	1
440.9453125000	n/a	stimulus	n/a	112882.0000000000	128	3	eeg+txt	MW_question	425.3000	440.9453125000	n/a	n/a	15.645312	stimulus_value_128_is_MW_prompt_in_EEG	1
444.0742187500	n/a	response	n/a	113683.0000000000	4	3	eeg+txt	key_status_1	428.4000	444.0453125000	2	1	15.645312	aligned_by_order	1
448.4687500000	n/a	response	n/a	114808.0000000000	2	3	eeg+txt	key_status_2	432.8000	448.4453125000	1	2	15.645312	aligned_by_order	1
450.6640625000	n/a	response	n/a	115370.0000000000	2	3	eeg+txt	key_status_3	435.0000	450.6453125000	1	3	15.645312	aligned_by_order	1
