onset	duration	trial_type	response_time	sample	value	trial_index	source	txt_label	txt_onset_log_s	txt_onset_eeg_clock_s	key_code_txt	status_txt	trial_clock_offset_s	merge_note	complete_trial
79.9453125000	n/a	stimulus	n/a	20466.0000000000	128	1	eeg+txt	MW_question	70.1000	79.9453125000	n/a	n/a	9.845313	stimulus_value_128_is_MW_prompt_in_EEG	1
84.2851562500	n/a	response	n/a	21577.0000000000	4	1	eeg+txt	key_status_1	74.4000	84.2453125000	2	1	9.845313	aligned_by_order	1
86.6718750000	n/a	response	n/a	22188.0000000000	2	1	eeg+txt	key_status_2	76.8000	86.6453125000	1	2	9.845313	aligned_by_order	1
89.5453125000	n/a	response	n/a	n/a	1	1	eeg+txt	key_status_3	79.7000	89.5453125000	0	3	9.845313	txt_key0_present_in_eeg_rare	1
165.6328125000	n/a	stimulus	n/a	42402.0000000000	128	2	eeg+txt	MW_question	155.7000	165.6328125000	n/a	n/a	9.932813	stimulus_value_128_is_MW_prompt_in_EEG	1
174.1523437500	n/a	response	n/a	44583.0000000000	4	2	eeg+txt	key_status_1	164.2000	174.1328125000	2	1	9.932813	aligned_by_order	1
178.4328125000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_2	168.5000	178.4328125000	0	2	9.932813	txt_key0_present_in_eeg_rare	1
181.3328125000	n/a	response	n/a	n/a	1	2	eeg+txt	key_status_3	171.4000	181.3328125000	0	3	9.932813	txt_key0_present_in_eeg_rare	1
256.2617187500	n/a	stimulus	n/a	65603.0000000000	128	3	eeg+txt	MW_question	246.4000	256.2617187500	n/a	n/a	9.861719	stimulus_value_128_is_MW_prompt_in_EEG	1
260.5117187500	n/a	response	n/a	66691.0000000000	8	3	eeg+txt	key_status_1	250.6000	260.4617187500	3	1	9.861719	aligned_by_order	1
263.5617187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_2	253.7000	263.5617187500	0	2	9.861719	txt_key0_present_in_eeg_rare	1
265.7617187500	n/a	response	n/a	n/a	1	3	eeg+txt	key_status_3	255.9000	265.7617187500	0	3	9.861719	txt_key0_present_in_eeg_rare	1
334.8828125000	n/a	stimulus	n/a	85730.0000000000	128	4	eeg+txt	MW_question	325.0000	334.8828125000	n/a	n/a	9.882812	stimulus_value_128_is_MW_prompt_in_EEG	0
338.4335937500	n/a	response	n/a	86639.0000000000	8	4	eeg+txt	key_status_1	328.5000	338.3828125000	3	1	9.882812	aligned_by_order	0
340.8281250000	n/a	response	n/a	87252.0000000000	2	4	eeg+txt	key_status_2	330.9000	340.7828125000	1	2	9.882812	aligned_by_order	0
552.4531250000	n/a	stimulus	n/a	141428.0000000000	128	5	eeg+txt	MW_question	542.5000	552.4531250000	n/a	n/a	9.953125	stimulus_value_128_is_MW_prompt_in_EEG	1
556.2968750000	n/a	response	n/a	142412.0000000000	4	5	eeg+txt	key_status_1	546.4000	556.3531250000	2	1	9.953125	aligned_by_order	1
559.0117187500	n/a	response	n/a	143107.0000000000	2	5	eeg+txt	key_status_2	549.1000	559.0531250000	1	2	9.953125	aligned_by_order	1
561.9609375000	n/a	response	n/a	143862.0000000000	2	5	eeg+txt	key_status_3	552.0000	561.9531250000	1	3	9.953125	aligned_by_order	1
613.9531250000	n/a	stimulus	n/a	157172.0000000000	128	6	eeg+txt	MW_question	604.0000	613.9531250000	n/a	n/a	9.953125	stimulus_value_128_is_MW_prompt_in_EEG	1
618.5976562500	n/a	response	n/a	158361.0000000000	4	6	eeg+txt	key_status_1	608.6000	618.5531250000	2	1	9.953125	aligned_by_order	1
620.9648437500	n/a	response	n/a	158967.0000000000	2	6	eeg+txt	key_status_2	611.0000	620.9531250000	1	2	9.953125	aligned_by_order	1
623.9101562500	n/a	response	n/a	159721.0000000000	2	6	eeg+txt	key_status_3	614.0000	623.9531250000	1	3	9.953125	aligned_by_order	1
639.8867187500	n/a	stimulus	n/a	163811.0000000000	128	7	eeg+txt	MW_question	630.0000	639.8867187500	n/a	n/a	9.886719	stimulus_value_128_is_MW_prompt_in_EEG	1
642.5703125000	n/a	response	n/a	164498.0000000000	8	7	eeg+txt	key_status_1	632.6000	642.4867187500	3	1	9.886719	aligned_by_order	1
645.1867187500	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_2	635.3000	645.1867187500	0	2	9.886719	txt_key0_present_in_eeg_rare	1
647.3867187500	n/a	response	n/a	n/a	1	7	eeg+txt	key_status_3	637.5000	647.3867187500	0	3	9.886719	txt_key0_present_in_eeg_rare	1
683.4414062500	n/a	stimulus	n/a	174961.0000000000	128	8	eeg+txt	MW_question	673.5000	683.4414062500	n/a	n/a	9.941406	stimulus_value_128_is_MW_prompt_in_EEG	1
687.6132812500	n/a	response	n/a	176029.0000000000	8	8	eeg+txt	key_status_1	677.7000	687.6414062500	3	1	9.941406	aligned_by_order	1
689.7460937500	n/a	response	n/a	176575.0000000000	2	8	eeg+txt	key_status_2	679.8000	689.7414062500	1	2	9.941406	aligned_by_order	1
699.0414062500	n/a	response	n/a	n/a	1	8	eeg+txt	key_status_3	689.1000	699.0414062500	0	3	9.941406	txt_key0_present_in_eeg_rare	1
804.0898437500	n/a	stimulus	n/a	205847.0000000000	128	9	eeg+txt	MW_question	794.2000	804.0898437500	n/a	n/a	9.889844	stimulus_value_128_is_MW_prompt_in_EEG	1
807.0078125000	n/a	response	n/a	206594.0000000000	8	9	eeg+txt	key_status_1	797.0000	806.8898437500	3	1	9.889844	aligned_by_order	1
809.2578125000	n/a	response	n/a	207170.0000000000	2	9	eeg+txt	key_status_2	799.3000	809.1898437500	1	2	9.889844	aligned_by_order	1
812.1796875000	n/a	response	n/a	207918.0000000000	2	9	eeg+txt	key_status_3	802.2000	812.0898437500	1	3	9.889844	aligned_by_order	1
899.1757812500	n/a	stimulus	n/a	230189.0000000000	128	10	eeg+txt	MW_question	889.2000	899.1757812500	n/a	n/a	9.975781	stimulus_value_128_is_MW_prompt_in_EEG	1
902.2109375000	n/a	response	n/a	230966.0000000000	4	10	eeg+txt	key_status_1	892.3000	902.2757812500	2	1	9.975781	aligned_by_order	1
904.3593750000	n/a	response	n/a	231516.0000000000	2	10	eeg+txt	key_status_2	894.4000	904.3757812500	1	2	9.975781	aligned_by_order	1
906.9757812500	n/a	response	n/a	n/a	1	10	eeg+txt	key_status_3	897.0000	906.9757812500	0	3	9.975781	txt_key0_present_in_eeg_rare	1
931.9492187500	n/a	stimulus	n/a	238579.0000000000	128	11	eeg+txt	MW_question	922.0000	931.9492187500	n/a	n/a	9.949219	stimulus_value_128_is_MW_prompt_in_EEG	1
935.2734375000	n/a	response	n/a	239430.0000000000	4	11	eeg+txt	key_status_1	925.3000	935.2492187500	2	1	9.949219	aligned_by_order	1
937.3984375000	n/a	response	n/a	239974.0000000000	2	11	eeg+txt	key_status_2	927.4000	937.3492187500	1	2	9.949219	aligned_by_order	1
939.9453125000	n/a	response	n/a	240626.0000000000	2	11	eeg+txt	key_status_3	930.0000	939.9492187500	1	3	9.949219	aligned_by_order	1
1097.9570312500	n/a	stimulus	n/a	281077.0000000000	128	12	eeg+txt	MW_question	1088.0000	1097.9570312500	n/a	n/a	9.957031	stimulus_value_128_is_MW_prompt_in_EEG	1
1102.4023437500	n/a	response	n/a	282215.0000000000	2	12	eeg+txt	key_status_1	1092.4000	1102.3570312500	1	1	9.957031	aligned_by_order	1
1111.5570312500	n/a	response	n/a	n/a	1	12	eeg+txt	key_status_2	1095.7000	1105.6570312500	0	2	9.957031	txt_key0_present_in_eeg_rare	1
1111.5625000000	n/a	response	n/a	284560.0000000000	4	12	eeg+txt	key_status_3	1101.6000	1111.5570312500	2	3	9.957031	aligned_by_order	1
1127.5625000000	n/a	stimulus	n/a	288656.0000000000	128	13	eeg+txt	MW_question	1117.6000	1127.5625000000	n/a	n/a	9.962500	stimulus_value_128_is_MW_prompt_in_EEG	1
1130.7226562500	n/a	response	n/a	289465.0000000000	4	13	eeg+txt	key_status_1	1120.8000	1130.7625000000	2	1	9.962500	aligned_by_order	1
1133.8625000000	n/a	response	n/a	n/a	1	13	eeg+txt	key_status_2	1123.9000	1133.8625000000	0	2	9.962500	txt_key0_present_in_eeg_rare	1
1137.0625000000	n/a	response	n/a	n/a	1	13	eeg+txt	key_status_3	1127.1000	1137.0625000000	0	3	9.962500	txt_key0_present_in_eeg_rare	1
1235.0625000000	n/a	stimulus	n/a	316176.0000000000	128	14	eeg+txt	MW_question	1225.1000	1235.0625000000	n/a	n/a	9.962500	stimulus_value_128_is_MW_prompt_in_EEG	1
1237.9492187500	n/a	response	n/a	316915.0000000000	4	14	eeg+txt	key_status_1	1227.9000	1237.8625000000	2	1	9.962500	aligned_by_order	1
1240.3125000000	n/a	response	n/a	317520.0000000000	2	14	eeg+txt	key_status_2	1230.3000	1240.2625000000	1	2	9.962500	aligned_by_order	1
